ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag,code6
688017.SH,20260130,20251231,预增,104.74,131.45,11500.0,13000.0,5616.81,20260130,预计:净利润11500-13000,2025年公司业绩实现显著增长，核心得益于多方面有利因素的协同发力。工业机器人行业迎来回暖态势，市场需求持续释放，公司凭借深厚的行业积累与产品竞争力，在该领域保持稳步增长，市场份额持续提升，为业绩增长奠定了坚实基础。在具身智能机器人赛道，行业发展进入关键转折期，头部客户逐步从研发阶段迈向小批量生产，公司相关产品凭借可靠品质与适配性获得客户高度认可，业务规模同比实现大幅增长，成为业绩增长的重要引擎。同时，公司积极推进海外市场拓展战略，通过深化与海外合作伙伴的沟通交流，海外客群布局初见成效，为整体增长注入新的动力。此外，公司在稳步提升产能以匹配市场需求的同时，持续优化生产工艺与运营流程，生产效率与资源利用效率显著改善，进一步增强了盈利转化能力，共同推动公司实现高质量增长。,1,688017
688017.SH,20260130,20251231,预增,104.74,131.45,11500.0,13000.0,5616.81,20260130,预计:净利润11500-13000,2025年公司业绩实现显著增长，核心得益于多方面有利因素的协同发力。工业机器人行业迎来回暖态势，市场需求持续释放，公司凭借深厚的行业积累与产品竞争力，在该领域保持稳步增长，市场份额持续提升，为业绩增长奠定了坚实基础。在具身智能机器人赛道，行业发展进入关键转折期，头部客户逐步从研发阶段迈向小批量生产，公司相关产品凭借可靠品质与适配性获得客户高度认可，业务规模同比实现大幅增长，成为业绩增长的重要引擎。同时，公司积极推进海外市场拓展战略，通过深化与海外合作伙伴的沟通交流，海外客群布局初见成效，为整体增长注入新的动力。此外，公司在稳步提升产能以匹配市场需求的同时，持续优化生产工艺与运营流程，生产效率与资源利用效率显著改善，进一步增强了盈利转化能力，共同推动公司实现高质量增长。,0,688017
300503.SZ,20260124,20251231,预增,54.4,99.03,12800.0,16500.0,8290.04,20260124,预计:净利润12800-16500,"1、本报告期，受益于AI算力基础设施和消费电子升级带来的PCB市场需求增长，以及国产替代加速和技术创新的推动，公司PCB专用加工设备及多类主轴产品销售收入同比大幅提升。在规模效应带动下，产品毛利率有所提高，整体经营能力增强，推动2025年归属于上市公司股东的净利润实现较大幅度增长。2、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为3,350-5,000万元，上年同期为4,034.53万元。",0,300503
300503.SZ,20250111,20241231,扭亏,136.0882,152.5857,7000.0,10200.0,-19396.9,20250111,预计:净利润7000-10200,"1、报告期内，随着消费电子行业景气度逐步回暖，市场需求增加，公司数控雕铣机主轴、PCB钻孔机主轴、PCB成型机主轴、车床主轴、外驱加工中心主轴、转台等产品销售收入较上年同期大幅增长，带动公司整体销售收入较上年大幅增长；同时，公司对经营成本实施有效管控，产品毛利率方面较去年同期有所提升，整体经营能力稳步提高。以上情况综合导致公司2024年度归属于上市公司股东的净利润较上年大幅上涨，并扭亏为盈。2、公司本期资产减值损失和信用减值损失的最终金额将由公司聘请的具备证券期货从业资格的评估机构及审计机构进行评估和审计后确定，后续公司将根据实际情况及相关规则要求，履行计提减值准备的相关披露要求，敬请广大投资者谨慎决策，注意投资风险。3、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为3,500-5000万元，上年同期为4,483.86万元。",0,300503
300503.SZ,20240131,20231231,首亏,-975.6214,-773.5549,-19500.0,-15000.0,2226.99,20240131,预计:净利润-19500--15000,"1、报告期内，公司营业收入同比略有增长，但受终端消费电子行业景气度下滑、市场竞争加剧等因素影响，以及公司禾丰智能制造基地投入使用折旧费等费用增加，以上因素综合导致公司主营业务毛利率下滑以及相关期间费用增加。2、报告期内，子公司瑞士Infranor集团营业收入较上年同期保持了一定的增长，但受营业成本及销售费用等费用增加影响，瑞士Infranor集团毛利率下滑、净利润同比有所下降。因瑞士Infranor集团经营情况不及预期，公司预计需对瑞士Infranor集团补充计提约1.3亿元至1.7亿元商誉减值损失。同时，公司对部分应收账款、存货，根据会计准则的要求计提了减值准备和存货跌价准备。以上情况综合导致公司2023年度的整体利润较上年大幅下滑。公司本期计提商誉减值损失、资产减值损失和信用减值损失的最终金额将由公司聘请的具备证券期货从业资格的评估机构及审计机构进行评估和审计后确定，后续公司将根据实际情况及相关规则要求，履行计提减值准备的相关披露要求，敬请广大投资者谨慎决策，注意投资风险。3、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为2,500万元至3,500万元，上年同期为2,916.60万元。",1,300503
300503.SZ,20240131,20231231,首亏,-975.6214,-773.5549,-19500.0,-15000.0,2226.99,20240131,预计:净利润-19500--15000,"1、报告期内，公司营业收入同比略有增长，但受终端消费电子行业景气度下滑、市场竞争加剧等因素影响，以及公司禾丰智能制造基地投入使用折旧费等费用增加，以上因素综合导致公司主营业务毛利率下滑以及相关期间费用增加。2、报告期内，子公司瑞士Infranor集团营业收入较上年同期保持了一定的增长，但受营业成本及销售费用等费用增加影响，瑞士Infranor集团毛利率下滑、净利润同比有所下降。因瑞士Infranor集团经营情况不及预期，公司预计需对瑞士Infranor集团补充计提约1.3亿元至1.7亿元商誉减值损失。同时，公司对部分应收账款、存货，根据会计准则的要求计提了减值准备和存货跌价准备。以上情况综合导致公司2023年度的整体利润较上年大幅下滑。公司本期计提商誉减值损失、资产减值损失和信用减值损失的最终金额将由公司聘请的具备证券期货从业资格的评估机构及审计机构进行评估和审计后确定，后续公司将根据实际情况及相关规则要求，履行计提减值准备的相关披露要求，敬请广大投资者谨慎决策，注意投资风险。3、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为2,500万元至3,500万元，上年同期为2,916.60万元。",0,300503
002472.SZ,20250121,20241231,略增,24.45,26.9,101600.0,103600.0,81640.73,20250121,预计:净利润101600-103600,公司始终专注于齿轮主营业务，不断增强研发创新能力，打造以高精密齿轮研发与制造能力为基础的产品平台化战略，持续提高核心竞争力、拓宽“护城河”。报告期内，新能源汽车齿轮业务保持快速增长，为公司业绩的稳步增长提供了强有力的支持。展望未来，公司将继续集中资源对海外市场的布局加大力度，进一步提高在全球新能源汽车齿轮市场的占有率。同时，控股子公司浙江环驱科技有限公司在智能家居、智能汽车、未来生活等领域的深入布局初见成效，通过持续强化在智能执行机构领域的研发设计能力和市场响应速度，浙江环驱科技有限公司的营收和净利润得以显著提升，成为公司业绩增长的新动力来源，为整体发展注入了更多活力与潜力。,0,002472
002472.SZ,20240927,20240930,略增,22.66,26.05,72300.0,74300.0,58943.48,20240927,预计:净利润72300-74300,公司专注于核心业务，持续增强研发创新能力，积极拓展市场，全面提升核心竞争力。在报告期内，公司新能源汽车齿轮业务实现快速增长，成为业绩提升的主要驱动力。展望未来，公司将集中资源拓展海外市场，争取更多业务落地，进一步提升全球市场占有率。此外，公司智能执行机构业务围绕智能家居、智能汽车、智能办公及未来生活等多个领域进行战略布局，特别是在智能家居和智能汽车领域，公司将持续提升市场占有率，推动该业务板块的快速增长。报告期内，智能执行机构业务的营收和利润实现了显著同比增长，为公司整体业绩注入了新的增长动力。,0,002472
002472.SZ,20240709,20240630,略增,22.08,27.51,45000.0,47000.0,36859.74,20240709,预计:净利润45000-47000,公司业绩增长的主要原因：1、控股子公司浙江环驱科技有限公司（以下简称“环驱科技”）已成功转型至智能驱动机构的新兴领域，超越“民生齿轮”传统定位，覆盖智能办公、智能汽车、智能家居及未来生活等多个领域。报告期内，智能家居业务尤为亮眼，营收和利润同比增长显著，引领公司智能驱动机构业务迈向高速增长轨道。同时，环驱科技依托母公司在汽车市场的资源优势与协同效应，积极扩展智能汽车部件驱动业务，彰显出强势的发展潜力。2、新能源汽车齿轮业务的强劲增长是公司业绩增长的主要动力，这既得益于下游需求的增长带动，更是源于自身强大的市场竞争力。,1,002472
002472.SZ,20240709,20240630,略增,22.08,27.51,45000.0,47000.0,36859.74,20240709,预计:净利润45000-47000,公司业绩增长的主要原因：1、控股子公司浙江环驱科技有限公司（以下简称“环驱科技”）已成功转型至智能驱动机构的新兴领域，超越“民生齿轮”传统定位，覆盖智能办公、智能汽车、智能家居及未来生活等多个领域。报告期内，智能家居业务尤为亮眼，营收和利润同比增长显著，引领公司智能驱动机构业务迈向高速增长轨道。同时，环驱科技依托母公司在汽车市场的资源优势与协同效应，积极扩展智能汽车部件驱动业务，彰显出强势的发展潜力。2、新能源汽车齿轮业务的强劲增长是公司业绩增长的主要动力，这既得益于下游需求的增长带动，更是源于自身强大的市场竞争力。,0,002472
