ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
002708.SZ,20260129,20251231,预增,66.63,115.64,8500.0,11000.0,5101.12,20260129,预计:净利润8500-11000,1、公司围绕国产化替代与新能源业务的协同发展战略，重点聚焦关键行业与核心客户新项目，高效对接客户需求，快速推进项目进度，强化能力建设与投入，与国内外多家主机厂建立深度合作关系。报告期内，公司汽车零部件业务产能逐步释放，业务规模保持稳步攀升，促进公司业绩同步增长。2、报告期内，公司加大海外市场开拓力度，随着产品认可度和市场份额的不断提升，原有客户销售额增长的同时，成功开拓了新客户，公司外销收入实现大幅增长，双市场协同发展格局加速成型。3、近年公司持续加大研发投入力度，促使公司产品竞争力不断提升；同时深化精益管理，持续推进降本增效，优化费用支出结构，提升运营效率。在业务规模扩大的同时，进一步提升盈利水平，实现经营业绩稳健增长。,0
002708.SZ,20250124,20241231,扭亏,138.48,153.87,4500.0,6300.0,-11693.99,20250124,预计:净利润4500-6300,1、2024年，公司围绕国产化替代与新能源业务的协同发展战略，紧跟市场发展需求，重点聚焦关键行业与核心客户新项目，加强能力建设与投入，快速响应，公司综合竞争力持续增强；2、报告期内，公司汽车零部件业务产能陆续释放，定点新项目陆续启动量产与爬坡，带来2024年汽车零部件业务规模快速增长并形成一定竞争力，促进公司业绩同步增长；3、公司持续加大研发投入力度，促使公司产品竞争力不断攀升；此外，持续推进降本增效与增收节支活动，内部强化技术、质量与制造等职能降本，外部通过构建核心品类战略供应商群，实施一系列持续有效的成本控制举措，成功降低采购成本，毛利率同比增加。,0
002708.SZ,20240715,20240630,扭亏,177.38,216.07,3000.0,4500.0,-3876.99,20240715,预计:净利润3000-4500,报告期内，公司实现归属于上市公司股东的净利润和扣除非经常性损益后的净利润扭亏为盈的主要原因如下：1、行业整体增长与公司新项目的爬坡上量帮助公司上半年实现了较大幅度的收入增长。一方面2024年以来国内乘用车市场产销同比增长，汽车出口保持快速增长，新能源汽车市场占有率稳步提升，为公司的持续发展提供了良好的市场基础；另一方面近年来公司紧跟市场发展趋势，不断优化产品和业务结构，加速开拓新能源汽车和国际业务，定点了很多新项目，上半年各项目不断爬坡上量推动了公司销售收入整体快速增长。规模效应以及产品结构的优化，帮助公司整体盈利能力得以改善。2、公司上半年持续深入推进精益管理，强化组织能力，优化技术工艺，全面加强成本管控，持续提升运营效率，取得了明显的改善效果。3、公司2023年11月完成再融资，补充了发展所需的资本金，优化了公司资本结构，使得2024年上半年财务费用大幅降低。,1
002708.SZ,20240715,20240630,扭亏,177.38,216.07,3000.0,4500.0,-3876.99,20240715,预计:净利润3000-4500,报告期内，公司实现归属于上市公司股东的净利润和扣除非经常性损益后的净利润扭亏为盈的主要原因如下：1、行业整体增长与公司新项目的爬坡上量帮助公司上半年实现了较大幅度的收入增长。一方面2024年以来国内乘用车市场产销同比增长，汽车出口保持快速增长，新能源汽车市场占有率稳步提升，为公司的持续发展提供了良好的市场基础；另一方面近年来公司紧跟市场发展趋势，不断优化产品和业务结构，加速开拓新能源汽车和国际业务，定点了很多新项目，上半年各项目不断爬坡上量推动了公司销售收入整体快速增长。规模效应以及产品结构的优化，帮助公司整体盈利能力得以改善。2、公司上半年持续深入推进精益管理，强化组织能力，优化技术工艺，全面加强成本管控，持续提升运营效率，取得了明显的改善效果。3、公司2023年11月完成再融资，补充了发展所需的资本金，优化了公司资本结构，使得2024年上半年财务费用大幅降低。,0
002708.SZ,20240131,20231231,续亏,44.49,61.57,-13000.0,-9000.0,-23420.73,20240131,预计:净利润-13000--9000,"1、报告期内，公司积极开拓市场，持续优化产品结构和业务结构，加大新能源汽车市场拓展，产销量同比保持增长，产品盈利能力得到改善提升，实现销售收入同比增长。2、报告期内，电子信息行业景气度回升，消费电子等下游行业需求复苏，新能源、智能制造等产业逐步起量为电子元器件行业提供了新的需求增长点。受行业积极因素影响，公司控股子公司威海世一电子有限公司订单量持续回升，高端机型的产销量增长较快，经营业绩得到改善。3、报告期内，公司优化组织架构，强化内部管理效率，同时持续推进降本增效措施，公司整体盈利能力得到有效提升。4、报告期内，公司全资子公司常州天宏机械制造有限公司因拆迁获得房屋、土地征收补偿款，影响非经常性损益2,394.30万元。",1
002708.SZ,20240131,20231231,续亏,44.49,61.57,-13000.0,-9000.0,-23420.73,20240131,预计:净利润-13000--9000,"1、报告期内，公司积极开拓市场，持续优化产品结构和业务结构，加大新能源汽车市场拓展，产销量同比保持增长，产品盈利能力得到改善提升，实现销售收入同比增长。2、报告期内，电子信息行业景气度回升，消费电子等下游行业需求复苏，新能源、智能制造等产业逐步起量为电子元器件行业提供了新的需求增长点。受行业积极因素影响，公司控股子公司威海世一电子有限公司订单量持续回升，高端机型的产销量增长较快，经营业绩得到改善。3、报告期内，公司优化组织架构，强化内部管理效率，同时持续推进降本增效措施，公司整体盈利能力得到有效提升。4、报告期内，公司全资子公司常州天宏机械制造有限公司因拆迁获得房屋、土地征收补偿款，影响非经常性损益2,394.30万元。",0
300503.SZ,20260124,20251231,预增,54.4,99.03,12800.0,16500.0,8290.04,20260124,预计:净利润12800-16500,"1、本报告期，受益于AI算力基础设施和消费电子升级带来的PCB市场需求增长，以及国产替代加速和技术创新的推动，公司PCB专用加工设备及多类主轴产品销售收入同比大幅提升。在规模效应带动下，产品毛利率有所提高，整体经营能力增强，推动2025年归属于上市公司股东的净利润实现较大幅度增长。2、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为3,350-5,000万元，上年同期为4,034.53万元。",0
300503.SZ,20250111,20241231,扭亏,136.0882,152.5857,7000.0,10200.0,-19396.9,20250111,预计:净利润7000-10200,"1、报告期内，随着消费电子行业景气度逐步回暖，市场需求增加，公司数控雕铣机主轴、PCB钻孔机主轴、PCB成型机主轴、车床主轴、外驱加工中心主轴、转台等产品销售收入较上年同期大幅增长，带动公司整体销售收入较上年大幅增长；同时，公司对经营成本实施有效管控，产品毛利率方面较去年同期有所提升，整体经营能力稳步提高。以上情况综合导致公司2024年度归属于上市公司股东的净利润较上年大幅上涨，并扭亏为盈。2、公司本期资产减值损失和信用减值损失的最终金额将由公司聘请的具备证券期货从业资格的评估机构及审计机构进行评估和审计后确定，后续公司将根据实际情况及相关规则要求，履行计提减值准备的相关披露要求，敬请广大投资者谨慎决策，注意投资风险。3、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为3,500-5000万元，上年同期为4,483.86万元。",0
300503.SZ,20240131,20231231,首亏,-975.6214,-773.5549,-19500.0,-15000.0,2226.99,20240131,预计:净利润-19500--15000,"1、报告期内，公司营业收入同比略有增长，但受终端消费电子行业景气度下滑、市场竞争加剧等因素影响，以及公司禾丰智能制造基地投入使用折旧费等费用增加，以上因素综合导致公司主营业务毛利率下滑以及相关期间费用增加。2、报告期内，子公司瑞士Infranor集团营业收入较上年同期保持了一定的增长，但受营业成本及销售费用等费用增加影响，瑞士Infranor集团毛利率下滑、净利润同比有所下降。因瑞士Infranor集团经营情况不及预期，公司预计需对瑞士Infranor集团补充计提约1.3亿元至1.7亿元商誉减值损失。同时，公司对部分应收账款、存货，根据会计准则的要求计提了减值准备和存货跌价准备。以上情况综合导致公司2023年度的整体利润较上年大幅下滑。公司本期计提商誉减值损失、资产减值损失和信用减值损失的最终金额将由公司聘请的具备证券期货从业资格的评估机构及审计机构进行评估和审计后确定，后续公司将根据实际情况及相关规则要求，履行计提减值准备的相关披露要求，敬请广大投资者谨慎决策，注意投资风险。3、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为2,500万元至3,500万元，上年同期为2,916.60万元。",1
300503.SZ,20240131,20231231,首亏,-975.6214,-773.5549,-19500.0,-15000.0,2226.99,20240131,预计:净利润-19500--15000,"1、报告期内，公司营业收入同比略有增长，但受终端消费电子行业景气度下滑、市场竞争加剧等因素影响，以及公司禾丰智能制造基地投入使用折旧费等费用增加，以上因素综合导致公司主营业务毛利率下滑以及相关期间费用增加。2、报告期内，子公司瑞士Infranor集团营业收入较上年同期保持了一定的增长，但受营业成本及销售费用等费用增加影响，瑞士Infranor集团毛利率下滑、净利润同比有所下降。因瑞士Infranor集团经营情况不及预期，公司预计需对瑞士Infranor集团补充计提约1.3亿元至1.7亿元商誉减值损失。同时，公司对部分应收账款、存货，根据会计准则的要求计提了减值准备和存货跌价准备。以上情况综合导致公司2023年度的整体利润较上年大幅下滑。公司本期计提商誉减值损失、资产减值损失和信用减值损失的最终金额将由公司聘请的具备证券期货从业资格的评估机构及审计机构进行评估和审计后确定，后续公司将根据实际情况及相关规则要求，履行计提减值准备的相关披露要求，敬请广大投资者谨慎决策，注意投资风险。3、本报告期，公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为2,500万元至3,500万元，上年同期为2,916.60万元。",0
