公司代码,公司名称,行业,后台节点ID,后台节点名称,L1,L2,L3,L4,L5,L6,L7,L8证据清单,L8证据状态,当前映射关键词,证据缺口,映射状态,置信度,映射来源,规则来源,映射证据ID数,直接L8证据数,映射ID
000815,美利云,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_000815_ai_compute_hardware
002232,启明信息,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_002232_ai_compute_hardware
002642,荣联科技,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_002642_ai_compute_hardware
300017,网宿科技,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,服务器,AI服务器/整机集群,AI服务器业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务器；数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300017_ai_compute_hardware
300231,银信科技,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300231_ai_compute_hardware
300290,ST荣科,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300290_ai_compute_hardware
300308,中际旭创,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,光模块,高速光互联/CPO/LPO,光模块业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,光模块,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300308_ai_compute_hardware
300353,东土科技,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,交换机,高速交换机/网络互联,交换机与网络设备业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,交换机,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300353_ai_compute_hardware
300502,新易盛,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,光模块,高速光互联/CPO/LPO,光模块业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,光模块,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300502_ai_compute_hardware
300895,铜牛信息,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300895_ai_compute_hardware
