ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
000050.SZ,20260130,20251231,扭亏,122.44,126.92,15000.0,18000.0,-66857.92,20260130,预计:净利润15000-18000,2025年，公司主要业务领域需求总体向好但亦有短期波动，行业竞争仍在持续演进，不同细分市场格局差异化明显。面对机遇与挑战，公司聚焦核心业务高质量发展，扎实推进经营效能优化，2025年预计实现营业收入突破360亿元，归属于上市公司股东的净利润同比改善超8亿元，扣除非经常性损益后的净利润同比改善超16亿元，盈利能力显著提升，成功实现业绩转盈。同时，公司稳步推进新项目建设和爬坡，并依托面板领域技术积累与先进制造工艺等核心优势，积极推进非显示业务布局。报告期内，公司各主要业务表现如下：1、公司车载和专业显示业务营收占比超五成，营收规模的增长带动了业务利润规模的提升，成为公司利润稳健增长的压舱石。尤其在车载显示业务，公司持续强化全球头部竞争优势，保持了在车规显示、车载仪表、车载抬头显示领域出货量的全球第一，汽车电子、新能源车载作为业务增长点持续发力。2、在消费类显示领域，柔性AMOLED手机显示市场竞争较为激烈、市场价格阶段性承压，但柔性AMOLED技术渗透率仍在进一步提升，其产品规格升级、产品类型多元化也持续给行业带来新机遇。公司依托技术创新、方案优化、极致降本等综合性措施，稳健应对下游需求波动和行业竞争挑战，柔性AMOLED手机显示产品出货量保持国内第二、全球第三，旗舰产品出货量快速增长，业务盈利能力同比得到进一步改善，公司亦在积极推进柔性穿戴及中尺寸等多元应用布局，将精进相关产品和技术能力，不断强化柔性AMOLED业务整体竞争实力。同时，公司IT显示业务战略客户和重点项目实现新突破，运动健康显示业务聚焦高价值项目、新赛道顺利开拓，上述业务营收规模和业务盈利能力同比均实现增长。3、报告期内，公司持续优化经营管理效能，从安定生产、精益管理、材料及制费优化、减债降息、数字化等多维度入手，全面推进降本增效，也有效地助力了盈利水平的提升。显示行业面临的市场环境仍复杂多变，公司将快速响应市场变化，不断强化弹性与高效运营的能力，以扎实举措推动显示主业高质量发展。,1
000050.SZ,20260130,20251231,扭亏,122.44,126.92,15000.0,18000.0,-66857.92,20260130,预计:净利润15000-18000,2025年，公司主要业务领域需求总体向好但亦有短期波动，行业竞争仍在持续演进，不同细分市场格局差异化明显。面对机遇与挑战，公司聚焦核心业务高质量发展，扎实推进经营效能优化，2025年预计实现营业收入突破360亿元，归属于上市公司股东的净利润同比改善超8亿元，扣除非经常性损益后的净利润同比改善超16亿元，盈利能力显著提升，成功实现业绩转盈。同时，公司稳步推进新项目建设和爬坡，并依托面板领域技术积累与先进制造工艺等核心优势，积极推进非显示业务布局。报告期内，公司各主要业务表现如下：1、公司车载和专业显示业务营收占比超五成，营收规模的增长带动了业务利润规模的提升，成为公司利润稳健增长的压舱石。尤其在车载显示业务，公司持续强化全球头部竞争优势，保持了在车规显示、车载仪表、车载抬头显示领域出货量的全球第一，汽车电子、新能源车载作为业务增长点持续发力。2、在消费类显示领域，柔性AMOLED手机显示市场竞争较为激烈、市场价格阶段性承压，但柔性AMOLED技术渗透率仍在进一步提升，其产品规格升级、产品类型多元化也持续给行业带来新机遇。公司依托技术创新、方案优化、极致降本等综合性措施，稳健应对下游需求波动和行业竞争挑战，柔性AMOLED手机显示产品出货量保持国内第二、全球第三，旗舰产品出货量快速增长，业务盈利能力同比得到进一步改善，公司亦在积极推进柔性穿戴及中尺寸等多元应用布局，将精进相关产品和技术能力，不断强化柔性AMOLED业务整体竞争实力。同时，公司IT显示业务战略客户和重点项目实现新突破，运动健康显示业务聚焦高价值项目、新赛道顺利开拓，上述业务营收规模和业务盈利能力同比均实现增长。3、报告期内，公司持续优化经营管理效能，从安定生产、精益管理、材料及制费优化、减债降息、数字化等多维度入手，全面推进降本增效，也有效地助力了盈利水平的提升。显示行业面临的市场环境仍复杂多变，公司将快速响应市场变化，不断强化弹性与高效运营的能力，以扎实举措推动显示主业高质量发展。,0
000050.SZ,20250715,20250630,扭亏,138.82,144.95,19000.0,22000.0,-48939.23,20250715,预计:净利润19000-22000,公司始终聚焦显示主业的高质量发展，坚持创新驱动，不断强化核心业务能力，积极赢取市场机会，着力提升高端旗舰项目份额，并加快推进新项目建设。报告期内，公司预计实现营业收入同比增长约10%，归属于上市公司股东的净利润同比增长超138%，实现扭亏为盈。二季度单季，公司预计实现营收环比增长约10%，归属于上市公司股东的净利润和扣除非经常性损益后的净利润均环比持续稳步改善，经营质效得到进一步提升。1、报告期内，公司包括车载、专业显示（工控、医疗、智能家居、人机交互等细分领域）在内的非消费类显示业务营收占比超五成，增长超25%，在保持全球领先竞争优势的基础上，业务盈利能力持续增强。2、报告期内，公司消费类显示业务盈利能力同比显著提升。其中，武汉柔性AMOLED产线手机产品线保持饱满稼动，结合技术创新、方案优化、极致降本等综合性措施，盈利能力同比、季度环比均进一步得到改善。同时，公司IT、运动健康等显示业务积极把握市场拓展机遇，优化产品结构，营收规模和业务盈利能力也均实现同比增长。3、报告期内，公司持续优化经营管理效能，从安定生产、精益管理、材料及制费优化、减债降息、数字化等多维度入手，全面推进降本增效，有效地助力了盈利水平的提升。公司坚定“2+1+N”战略布局，持续聚焦做优主业，强化优势业务盈利能力，积极推进新业务发展和经营质效提升，不断推动各项业务实现高质量发展。,0
000050.SZ,20250123,20241231,续亏,64.24,69.01,-75000.0,-65000.0,-209758.84,20250123,预计:净利润-75000--65000,报告期内，公司扎实推进运营质效提升，强化核心能力建设，筑牢核心领域优势，积极把握市场机会，营业收入实现稳步增长，产品结构得到进一步优化，主要业务盈利能力得到修复提升，在面临武汉AMOLED产线折旧压力同比大幅增加的挑战下，归属于上市公司股东的净利润和扣除非经常性损益后的净利润同比均有显著改善，为2025年公司发展奠定了良好的基础。1、报告期内，公司消费类显示业务盈利能力快速修复，基于下游需求的好转，对利润影响较大的智能手机显示业务盈利能力持续改善，其中在柔性AMOLED手机显示业务上，公司依托多元化的客户布局、产线能力的持续提升、极致降本措施的大力推进，柔性AMOLED手机显示产品出货量同比保持增长，营收规模进一步扩大，并在技术创新、品牌项目渗透、AMOLED多元化能力建设等方面持续进步，武汉AMOLED产线利润水平同比改善明显。同时，公司在IT、穿戴等其他电子消费品显示领域持续拓展市场机会，业务盈利能力同比亦有所修复。2、报告期内，公司非消费类显示业务中，车载显示业务继续筑牢头部竞争优势，并依托汽车电子、新能源等业务的快速发展，实现了车载显示业务营业收入的加速增长，带动了车载显示业务利润规模的进一步扩大；公司专业显示业务（工控、医疗、智能家居、人机交互等细分领域）保持稳健发展，并积极开拓中大尺寸商显等新细分市场。公司将坚持“2+1+N”战略引领，持续聚焦做优主业，强化核心能力建设，持续极致降本增效，不断优化产品结构，不断加大市场开拓力度，持续提升经营质效，稳步推进新项目建设，不断推动各项业务实现高质量发展。,0
000050.SZ,20240711,20240630,续亏,60.68,70.51,-56000.0,-42000.0,-142423.4,20240711,预计:净利润-56000--42000,报告期内，公司持续聚焦提升显示主业的经营质量，不断强化核心能力建设，积极抢抓市场机遇，保持了营收水平的稳健并进一步优化了营收结构，并加速推进新项目建设。同时，基于较为良好的终端需求，公司在面临较大的武汉AMOLED产线折旧的压力下，上半年归属于上市公司股东的净利润、扣除非经常性损益后的净利润状况同比均实现明显改善。1、报告期内，公司消费类显示业务盈利能力快速修复，特别是营收占比较高、对利润影响较大的智能手机显示业务，利润同比改善幅度明显，其中在柔性AMOLED手机显示业务上，基于良好的终端需求，产品均价得到较好修复，公司依托多元的客户布局以及产线能力的持续提升，柔性AMOLED手机显示产品出货量同比保持增长，并在技术创新、品牌项目渗透等方面持续进步，武汉AMOLED产线盈利能力有所改善。2、报告期内，公司在包括车载、专业显示（工控、医疗、智能家居、人机交互等细分领域）在内的非消费类显示业务保持了稳健发展。其中，随着车载产品结构的不断优化以及面向国际头部车企的汽车电子业务今年开始规模起量，公司车载显示业务有望持续快速发展。公司将不断深化“2+1+N”发展战略，聚焦核心主业，强化核心能力建设，持续极致降本增效，抢抓发展机遇，不断优化产品结构，不断加大市场开拓力度，持续提升经营质效，努力实现各项业务高质量发展。,1
000050.SZ,20240711,20240630,续亏,60.68,70.51,-56000.0,-42000.0,-142423.4,20240711,预计:净利润-56000--42000,报告期内，公司持续聚焦提升显示主业的经营质量，不断强化核心能力建设，积极抢抓市场机遇，保持了营收水平的稳健并进一步优化了营收结构，并加速推进新项目建设。同时，基于较为良好的终端需求，公司在面临较大的武汉AMOLED产线折旧的压力下，上半年归属于上市公司股东的净利润、扣除非经常性损益后的净利润状况同比均实现明显改善。1、报告期内，公司消费类显示业务盈利能力快速修复，特别是营收占比较高、对利润影响较大的智能手机显示业务，利润同比改善幅度明显，其中在柔性AMOLED手机显示业务上，基于良好的终端需求，产品均价得到较好修复，公司依托多元的客户布局以及产线能力的持续提升，柔性AMOLED手机显示产品出货量同比保持增长，并在技术创新、品牌项目渗透等方面持续进步，武汉AMOLED产线盈利能力有所改善。2、报告期内，公司在包括车载、专业显示（工控、医疗、智能家居、人机交互等细分领域）在内的非消费类显示业务保持了稳健发展。其中，随着车载产品结构的不断优化以及面向国际头部车企的汽车电子业务今年开始规模起量，公司车载显示业务有望持续快速发展。公司将不断深化“2+1+N”发展战略，聚焦核心主业，强化核心能力建设，持续极致降本增效，抢抓发展机遇，不断优化产品结构，不断加大市场开拓力度，持续提升经营质效，努力实现各项业务高质量发展。,0
000050.SZ,20240131,20231231,首亏,-2007.0488,-1953.3291,-213000.0,-207000.0,11169.09,20240131,预计:净利润-213000--207000,报告期内，基于行业影响公司盈利有所下滑，但公司持续积极抢抓市场机遇，强化核心能力建设，实现了营业收入同比稳健增长，在武汉AMOLED产线折旧增加的压力下，公司第三、四季度扣除非经常性损益后的净利润状况较第一、二季度仍有所改善。1、报告期内，公司营收占比较高的消费类显示业务，尤其是智能手机显示产品均价大幅下降，盈利能力同比大幅下滑。此情况在2023年下半年开始有所缓解，公司柔性AMOLED手机、LTPSLCD手机等显示业务逐步改善。报告期内，公司柔性AMOLED手机显示产品出货量同比大幅增长，并在技术创新、品牌项目渗透等方面有了明显进步。公司将紧抓行业机遇，不断技术创新，提升高附加值产品占比、加快中尺寸等新产品线开拓、强化成本优化力度、持续优化产品结构，不断强化综合竞争力。2、报告期内，公司在包括车载、专业显示（工控、医疗、智能家居、人机交互等细分领域）在内的非消费类显示业务保持了稳健发展。3、此外，报告期内，汇兑损益、投资收益等因素的变动一定程度影响了公司利润的同比下降。展望未来，公司将持续深化“2+1+N”发展战略，强化核心能力建设，对内极致降本增效，对外抢抓发展机遇，不断优化产品结构，不断加大市场开拓力度，持续提升经营水平。,1
000050.SZ,20240131,20231231,首亏,-2007.0488,-1953.3291,-213000.0,-207000.0,11169.09,20240131,预计:净利润-213000--207000,报告期内，基于行业影响公司盈利有所下滑，但公司持续积极抢抓市场机遇，强化核心能力建设，实现了营业收入同比稳健增长，在武汉AMOLED产线折旧增加的压力下，公司第三、四季度扣除非经常性损益后的净利润状况较第一、二季度仍有所改善。1、报告期内，公司营收占比较高的消费类显示业务，尤其是智能手机显示产品均价大幅下降，盈利能力同比大幅下滑。此情况在2023年下半年开始有所缓解，公司柔性AMOLED手机、LTPSLCD手机等显示业务逐步改善。报告期内，公司柔性AMOLED手机显示产品出货量同比大幅增长，并在技术创新、品牌项目渗透等方面有了明显进步。公司将紧抓行业机遇，不断技术创新，提升高附加值产品占比、加快中尺寸等新产品线开拓、强化成本优化力度、持续优化产品结构，不断强化综合竞争力。2、报告期内，公司在包括车载、专业显示（工控、医疗、智能家居、人机交互等细分领域）在内的非消费类显示业务保持了稳健发展。3、此外，报告期内，汇兑损益、投资收益等因素的变动一定程度影响了公司利润的同比下降。展望未来，公司将持续深化“2+1+N”发展战略，强化核心能力建设，对内极致降本增效，对外抢抓发展机遇，不断优化产品结构，不断加大市场开拓力度，持续提升经营水平。,0
000100.SZ,20260114,20251231,预增,169.0,191.0,421000.0,455000.0,156400.0,20260114,预计:净利润421000-455000,"公司聚焦半导体显示、新能源光伏和半导体材料三大核心主业，持续强化经营韧性，提升相对竞争力，致力可持续的高质量发展。报告期内，公司业绩主要影响因素如下：TCL华星坚持领先战略，夯实增长动能，锻造经营韧性，经营效益持续向好，营业收入突破1,000亿元，净利润超80亿元，经营性现金流净额超400亿元，实现高质量增长。TV和商显等大尺寸产品保持竞争优势，稳固经营基本盘；在中小尺寸产品领域，规模快速增长，竞争力持续提高。报告期内，公司完成对原乐金显示（中国）有限公司（t11）100%股权收购，完善了大、中尺寸LCD面板的产能布局；收购深圳市华星光电半导体显示技术有限公司（t6t7）部分少数股权，增厚公司归母利润；扩建G5.5代印刷OLED产线（t12），建设全球首条高世代印刷OLED产线（t8），推动印刷OLED技术的商业化进程，为未来显示技术升级奠定基础。中环领先坚持“国内领先，全球追赶”战略，巩固半导体材料领域国内领先地位。全年实现营业收入超57亿元，营收及出货量继续稳居国内第一。受光伏产业链各环节过剩影响，TCL中环正经历光伏产业的剧烈波动，公司秉持“在发展中解决问题，在克服困难中找到机会”的信念，坚持产品技术创新和全球化战略，推进组织变革，改善盈利能力。",0
000100.SZ,20250710,20250630,预增,81.0,101.0,180000.0,200000.0,99500.0,20250710,预计:净利润180000-200000,公司聚焦半导体显示、新能源光伏和半导体材料业务的核心主业发展，坚持战略引领、创新驱动、先进制造、全球经营，持续提升相对竞争力，实现高质量可持续发展。报告期内，公司业绩主要影响因素如下：半导体显示业务预计上半年实现净利润超46亿元，同比增长超70%。大尺寸显示领域，供给侧格局进一步优化，高端化及大尺寸化趋势拉动面积需求继续增长，主要产品价格相对稳定、随需求淡旺季窄幅波动；公司充分发挥产线布局、产品技术和效率效益优势，盈利增强。中尺寸领域，t9产能顺利爬坡，IT产品销量和收入大幅增长，业务盈利持续改善。小尺寸OLED业务高端化战略成效显著，多款差异化产品实现头部客户供应。公司将继续完善显示业务布局和产品结构，巩固竞争优势，提升盈利水平。乐金显示（中国）有限公司（现更名为“广州华星光电技术有限公司”，t11）已于2025年第二季度起并入公司合并范围；公司对深圳市华星光电半导体显示技术有限公司21.5311%股权的收购已于2025年7月1日完成工商变更，进一步提升公司的竞争优势。2025年上半年，全球光伏装机保持韧性增长，国内分布式市场迎来短期抢装潮，需求自5月份逐步回落；产业链各环节产能供需失衡，行业经营承压。受产品价格下跌及存货减值的影响，预计TCL中环上半年归属于本公司股东净利润-12.0至-13.5亿元。面对挑战，TCL中环持续推进战略落地、经营改善、降本控费和组织变革等工作，保持报告期内经营现金流为正，坚守经营底线。TCL中环将继续积极践行行业自律，提升相对竞争力，努力改善年度经营业绩。具体详见TCL中环于同日发布的《2025年半年度业绩预告》。报告期内，公司其他业务板块经营稳健，继续贡献收益。,0
