code,name,node,product,base_score,updated_score,tier,signal,latest_trade_date,close,chg20,pe_ttm,pb,total_mv_yi,roe,gross_margin,debt_to_assets,revenue_yoy,netprofit_yoy,forecast,product_item,product_sales_pct,product_gross_margin,strict_evidence_hits,strict_stage_hits,negative_hits,old_evidence_count,latest_evidence,reason
002708.SZ,光洋股份,bearing,轴承产品,92.0,100.0,第一梯队,产业强、等待技术修复,20260702,12.97,-7.88,67.7593,4.1215,72.90411060000001,1.8307,15.2346,56.2172,15.1209,25.9988,预增 67~116%,轴承产品,57.50395515106811,24.016040124408484,72,33,10,20,尊敬的董秘，你好！请问公司同步器行星排产品毛利率是多少？业务收入占比多少？AI算力需求快速增长、 PCB线路板业务占比多少？机器人防爆巡查机器人6月份批量交货了吗？半年度报会提前预报吗？谢谢如实告知。 | 您好，据2025年度报告数据显示，公司同步器行星排产品毛利率为20.02%，占营业收入比重为19.93%，线路板业务占营业收入比重为10.80%。公司将严格按照监管规则及时履行信息披露义务，相关项目进展及具体经营情况请届时关注公司披露,bearing节点，产品映射为轴承产品；相关/相近产品收入占比约57.5%；最新严格证据中有33条阶段性证据；最新营收同比15.1%；业绩预告预增 67~116%；20日涨跌-7.9%
300503.SZ,昊志机电,controller,运动控制产品,82.0,98.0,第一梯队,优先跟踪,20260702,94.88,26.54,150.2777,19.8435,292.44558784,6.3692,42.1482,57.5905,72.8763,483.5371,预增 54~99%,运动控制产品,17.88742088437872,40.38027370942404,129,81,4,26,贵司在机器人领域是否有订单。贵司是不是有产品应用于pcb设备，目前产能订单如何。是否还需要扩大生产线 | 尊敬的投资者，您好。\n（1）在机器人领域，公司已攻克谐波减速器、关节模组、无框力矩电机、六维力传感器等系列核心功能部件技术，实现了智能机器人核心功能部件的全国产化替代。同时，公司的机器人领域业务已形成“N+1+3”的布局，其中“N”是指减速器、低压驱动、力矩传感器、无框力矩电机、编码器等机器人核心零部件，“1”是指以协作机器人为载,controller节点，产品映射为运动控制产品；相关/相近产品收入占比约17.9%；最新严格证据中有81条阶段性证据；最新营收同比72.9%；业绩预告预增 54~99%；20日涨跌26.5%
688017.SH,绿的谐波,reducer,谐波减速器及金属部件,76.0,95.0,第一梯队,优先跟踪,20260702,413.05,31.18,553.7334,21.2183,757.24497805,0.9185,33.618,9.4431,42.9556,61.1688,预增 105~131%,谐波减速器及金属部件,83.48958981215277,36.7690095825685,89,14,0,17,董秘你好，我是公司数百万资金重仓、长期坚定持股的核心个人股东，与机构同步布局，深度看好人形机器人减速器赛道的爆发性成长，长期坚定陪伴公司发展。公司在海外高端智能制造、人形机器人领域的布局，是否会成为未来第二增长曲线，打开中长期成长天花板？ | 尊敬的投资者您好，在具身智能机器人领域，公司紧跟行业从实验室研发向规模化落地的关键转折趋势，积极推进相关产品的研发与商业化进程。目前，部分头部厂商已进入小批量试生产阶段，我们的相关产品凭借过硬的品,reducer节点，产品映射为谐波减速器及金属部件；相关/相近产品收入占比约83.5%；最新严格证据中有14条阶段性证据；最新营收同比43.0%；业绩预告预增 105~131%；20日涨跌31.2%
000551.SZ,创元科技,bearing,精密轴承,78.0,93.0,第一梯队,优先跟踪,20260702,19.76,28.98,28.1971,3.1455,95.7832408,4.1744,28.6443,35.6434,3.258,56.2888,预增 40~70%,精密轴承,17.18682558460098,36.25049311121879,26,23,0,22,请问贵公司和特斯拉在机器人方面有合作吗？还和那些机器人公司有合作？ | 尊敬的投资者，您好！感谢您对公司的关心和建议。公司控股子公司苏州轴承生产的各类轴承系列产品广泛应用于汽车转向系统、主动安全系统、传动系统、扭矩管理系统、新能源电驱系统、智能座椅系统、变速箱、发动机和空调压缩机等重要总成，同时还应用于工业自动化、高端装备、工程机械、减速机、液压传动系统、电动工具、纺机、农林机械、航空航天、国防工业等领域。 \n苏州轴承未来将加大新能源,bearing节点，产品映射为精密轴承；相关/相近产品收入占比约17.2%；最新严格证据中有23条阶段性证据；最新营收同比3.3%；业绩预告预增 40~70%；20日涨跌29.0%
603270.SH,金帝股份,bearing,轴承保持架,73.0,88.0,第一梯队,优先跟踪,20260702,34.88,26.74,50.8319,3.3265,76.42441696,1.8362,28.3384,59.8654,38.1555,8.1861,略增 28~45%,轴承保持架,41.27823374367349,37.48863913963121,18,18,2,18,公司有无机械电控一体化送经卷取组件等产品，与哪些纺织厂商合作？ | 尊敬的投资者：您好！公司以精密冲压技术为核心，持续拓展产品应用边界，形成轴承保持架、精密零部件、新能源电驱动定转子总成多元产品生态，持续拓展至低空飞行、数控机床、具身智能等高端应用场景，同时加速全球化布局，实现市场覆盖与客户结构优化，形成 “海内外联动、多区域互补”的生产布局网络。感谢您的关注！谢谢,bearing节点，产品映射为轴承保持架；相关/相近产品收入占比约41.3%；最新严格证据中有18条阶段性证据；最新营收同比38.2%；业绩预告略增 28~45%；20日涨跌26.7%
300681.SZ,英搏尔,controller,电机控制器,71.0,83.0,第二梯队,产业强、等待技术修复,20260702,29.19,-14.6,38.5388,2.8906,89.33757125999999,1.8509,17.2675,57.4305,99.201,430.7997,预增 139~168%,电机控制器,10.559055298098857,27.871970424319137,43,29,1,13,董秘好，今年珠海引进智元机器人、优必选、千寻智能等整机企业，同时引进傲意科技（灵巧手）、帕西尼（触觉感知）、蓝点触控（六维力传感器）等核心零部件企业，形成从“大脑”到“小脑”再到“末梢”的完整链条。请问，公司作为珠海本地企业，是否参与珠海这一系列机器人产业链，或担任哪一些机器人零部件的研发工作？ | 尊敬的投资者，您好！公司目前的业务及经营情况敬请您关注公司2025年年度报告中披露的相关内容，感谢您对公司的关注。,controller节点，产品映射为电机控制器；相关/相近产品收入占比约10.6%；最新严格证据中有29条阶段性证据；最新营收同比99.2%；业绩预告预增 139~168%；20日涨跌-14.6%
300660.SZ,江苏雷利,motor,步进电机,72.0,80.0,第二梯队,产业强、等待技术修复,20260702,29.11,-9.0,62.4242,4.726,169.20988025,1.853,24.8631,42.3563,15.0124,-29.7909,略增 20~35%,步进电机,28.606313692838604,29.93694238275465,51,44,1,14,网上说贵公司子公司鼎智科技间接参股灵心巧手7.52%，并派驻董事，提供空心杯电机等。请问此消息属实吗？如果属实，贵公司也算是间接参股灵心巧手？ | 您好，据了解鼎智科技未参股灵心巧手，也未派驻董事，关于鼎智科技的相关情况请您通过北交所的相关投资者关系通道进行咨询，感谢关注！,motor节点，产品映射为步进电机；相关/相近产品收入占比约28.6%；最新严格证据中有44条阶段性证据；最新营收同比15.0%；业绩预告略增 20~35%；20日涨跌-9.0%
688162.SH,巨一科技,motor,新能源汽车电机驱动系统,75.0,79.0,第二梯队,产业强、等待技术修复,20260702,24.25,-15.56,44.1984,1.3744,33.246944,0.8622,16.4426,71.1675,4.2395,-21.6654,预增 228~393%,新能源汽车电机驱动系统,38.54800723385515,12.392787367062692,4,3,0,21,公司在2024年报中表示，将在新能源汽车主赛道持续深耕的同时，借助区域创新策源地和政策试验田的优势，培育出与具身智能机器人、低空经济等产业相关的战略增长极。请问，2025年贵司在具身智能机器人、低空经济领域规划了哪些实质性动作，目前是否已开始了相关研发工作？ | 尊敬的投资者，您好！感谢您对巨一科技的关注。具体工作开展情况请查阅公司近日在上海证券交易所网站披露的定期报告。谢谢！,motor节点，产品映射为新能源汽车电机驱动系统；相关/相近产品收入占比约38.5%；最新严格证据中有3条阶段性证据；最新营收同比4.2%；业绩预告预增 228~393%；20日涨跌-15.6%
688160.SH,步科股份,controller,控制系统,61.0,74.0,第二梯队,重点跟踪,20260702,134.0,25.88,163.6873,9.3052,122.22836799999999,1.0204,32.8639,13.0284,43.2192,19.6973,预增 39~64%,控制系统,28.187170589851736,41.33210631759995,8,3,0,8,据权威媒体6月5日报道。中国目前已经量产可变磁通电机。并广泛适用于新能源汽车、机器人、低空飞行器。可变磁通电机属于重大技术突破性产品。请问贵公司是否掌握了可变磁通电机相关技术？或者能否突破专利壁垒跟进量产这一最先进产品？ | 您好，感谢您对步科股份的关注。公司已成立技术研究院，针对机器人关节对电机轻量化、大力矩的核心需求，开展了轴向磁通电机等新技术的预研和长期跟踪，并已推出样品，进入客户试用阶段，研发过程中已识别相关技术的未来应用前景及,controller节点，产品映射为控制系统；相关/相近产品收入占比约28.2%；最新严格证据中有3条阶段性证据；最新营收同比43.2%；业绩预告预增 39~64%；20日涨跌25.9%
000795.SZ,英洛华,motor,电机系列,57.0,71.0,观察池,重点跟踪,20260702,9.7,7.18,43.2282,3.9821,108.2763179,2.5829,20.2138,38.4094,16.8661,0.747,预增 168~201%,电机系列,24.12270387830331,28.54090259711243,23,11,1,6,请问公司可以利用机器人技术做机器人轮椅吗 | 您好！公司健康器材产品目前主要是电动轮椅、电动代步车等，未生产机器人轮椅产品。感谢您的关注！,motor节点，产品映射为电机系列；相关/相近产品收入占比约24.1%；最新严格证据中有11条阶段性证据；最新营收同比16.9%；业绩预告预增 168~201%；20日涨跌7.2%
