code,name,node_id,node_name,product,tier,total_score,moat_score,evidence_score,stage_score,growth_score,profit_score,support_score,market_score,evidence_hits,stage_hits,weak_hits,business_item,business_sales_pct,business_gross_margin,pe_ttm,close,chg20,revenue_yoy,netprofit_yoy,gross_margin,roe,forecast,latest_evidence
688017.SH,绿的谐波,EI-L5-HARMONIC,谐波减速器,谐波减速器及金属部件,第一梯队,96.9,22,18.0,18,15.0,8.9,10,5,24,11,1,谐波减速器及金属部件,83.48958981215277,36.7690095825685,553.7334,413.05,31.18,42.9556,61.1688,33.618,0.9185,预增 105~131%,董秘你好，我是公司数百万资金重仓、长期坚定持股的核心个人股东，与机构同步布局，深度看好人形机器人减速器赛道的爆发性成长，长期坚定陪伴公司发展。公司在海外高端智能制造、人形机器人领域的布局，是否会成为未来第二增长曲线，打开中长期成长天花板？ | 尊敬的投资者您好，在具身智能机器人领域，公司紧跟行业从实验室研发向规模化落地的关键转折趋势，积极推进相关产品的研发与商业化进程。目前，部分头部厂商已进入小批量试生产阶段，我们的相关产品凭借过硬的品质获得了下游海内外企业的认可，相关收入实现大幅增长，为公司开辟了新的增长空间。感
300503.SZ,昊志机电,EI-L4-JOINT,关节模组/执行器,谐波减速器、关节模组、无框电机、六维力传感器,第一梯队,94.0,20,18.0,18,15.0,12.0,5,6,109,44,20,转台、直线电机、减速器等功能部件,13.787881045604196,35.92734541650283,150.2777,94.88,26.54,72.8763,483.5371,42.1482,6.3692,预增 54~99%,贵司在机器人领域是否有订单。贵司是不是有产品应用于pcb设备，目前产能订单如何。是否还需要扩大生产线 | 尊敬的投资者，您好。\n（1）在机器人领域，公司已攻克谐波减速器、关节模组、无框力矩电机、六维力传感器等系列核心功能部件技术，实现了智能机器人核心功能部件的全国产化替代。同时，公司的机器人领域业务已形成“N+1+3”的布局，其中“N”是指减速器、低压驱动、力矩传感器、无框力矩电机、编码器等机器人核心零部件，“1”是指以协作机器人为载体，“3”是指生活美容、工厂上下料、新能源汽车充电三大业务场景。\n在客户合作方
002979.SZ,雷赛智能,EI-L5-DRIVE,驱动器/控制器/编码器,运动控制、伺服、步进驱动,第一梯队,93.2,17,18.0,18,12.2,12.0,8,8,16,6,6,伺服系统类,49.1817582511243,28.08866186434495,82.6756,63.23,20.44,34.5483,29.2028,38.9442,3.964,预增 55~65%,公司在手订单多少？机器人零部件占比 | 您好，感谢您对公司的关注，有关公司经营业务情况敬请关注公司在巨潮资讯网披露的年度、半年度报告及相关临时公告，谢谢关注！
603270.SH,金帝股份,EI-L5-BEARING,机器人轴承/交叉滚子轴承,轴承保持架、精密零部件,第一梯队,90.0,18,18.0,18,11.0,8.9,8,8,18,13,2,轴承保持架,41.27823374367349,37.48863913963121,50.8319,34.88,26.74,38.1555,8.1861,28.3384,1.8362,略增 28~45%,公司有无机械电控一体化送经卷取组件等产品，与哪些纺织厂商合作？ | 尊敬的投资者：您好！公司以精密冲压技术为核心，持续拓展产品应用边界，形成轴承保持架、精密零部件、新能源电驱动定转子总成多元产品生态，持续拓展至低空飞行、数控机床、具身智能等高端应用场景，同时加速全球化布局，实现市场覆盖与客户结构优化，形成 “海内外联动、多区域互补”的生产布局网络。感谢您的关注！谢谢
000551.SZ,创元科技,EI-L5-BEARING,机器人轴承/交叉滚子轴承,苏轴股份精密轴承/滚针轴承,第一梯队,87.4,18,18.0,18,9.2,11.2,5,8,32,12,0,精密轴承,17.18682558460098,36.25049311121879,28.1971,19.76,28.98,3.258,56.2888,28.6443,4.1744,预增 40~70%,请问贵公司和特斯拉在机器人方面有合作吗？还和那些机器人公司有合作？ | 尊敬的投资者，您好！感谢您对公司的关心和建议。公司控股子公司苏州轴承生产的各类轴承系列产品广泛应用于汽车转向系统、主动安全系统、传动系统、扭矩管理系统、新能源电驱系统、智能座椅系统、变速箱、发动机和空调压缩机等重要总成，同时还应用于工业自动化、高端装备、工程机械、减速机、液压传动系统、电动工具、纺机、农林机械、航空航天、国防工业等领域。 \n苏州轴承未来将加大新能源汽车和国防、航空航天、机器人、工业自动化以及高端装备等领域的客户开发和产品的研发
603662.SH,柯力传感,EI-L5-FORCE,六维力/力矩/触觉传感器,力传感器、称重传感,第一梯队,84.9,21,18.0,18,2.4,9.5,8,8,182,48,3,力学传感器及仪表系列,39.77313565489084,43.285360898610186,67.7443,73.82,18.74,13.3436,-45.6484,46.346,1.4843,预增 58~92%,贵公司2025年年报中所称“报告期内，机器人力学传感器销售量超过 1500 只，送样客户数超过 70 家，已进入小批量生产向批量化供应过渡的发展阶段。2026 年月出货量已突破千只”是否属实？为何股价不涨？2026年月出货量突破千只机器人传感器，金额大概是多少？贵公司目前为哪些中外头部机器人公司供货？ | 您好！感谢您对公司的关注。公司年报披露信息属实，相关数据真实准确。公司股价波动，受多重因素影响，请注意投资风险。机器人传感器具体收入情况及客户名称请以公司定期报告为准，谢谢。
300007.SZ,汉威科技,EI-L5-FORCE,六维力/力矩/触觉传感器,传感器、气体/柔性传感,第一梯队,83.7,21,18.0,18,7.8,8.8,5,5,64,22,6,传感器,16.218259735620396,31.751021033818915,77.7443,39.56,-4.12,-15.6089,46.0823,34.0615,0.8408,预增 63~128%,董秘你好，我知道贵公司现在提交港股上市申请，处于静默状态，但是现在股价的下跌，从大股东和其他小股东来看，都很损害信心，经过长时间分析贵公司的体系后，我目前给几点建议，你不用回复：\n1、董秘可在易互动多交流，根据现有情况进行说明，不吹票，也不贬低，给出一种自信的态度（零成本，见效快）\n2、全力冲刺Q2业绩，让中报成为拐点\n3、推动苏州能斯达分拆融资，释放电子皮肤的真实价值。\n字数有限，总结只能这种。 | 尊敬的投资者，您好！谢谢您的宝贵建议。
002472.SZ,双环传动,EI-L5-RV,RV/行星/摆线减速器,齿轮、减速器、机器人关节减速器,第一梯队,82.8,19,13.6,18,4.5,9.7,10,8,13,3,0,乘用车齿轮,65.89559273464842,26.372143947818415,28.6144,42.74,6.21,1.488,2.9288,27.548,2.7958,略增 24~27%,尊敬的董秘您好！\n想向您咨询两个问题：\n \n1. 公司向宇树科技供应的齿轮减速器相关产品出货量是否位居行业第一？双方在机器人关节减速器领域的供货份额及合作地位如何？\n​\n2. 公司直接及间接持有宇树科技的股份比例分别为多少？对应的持股主体与持股路径请简要介绍。\n \n感谢您的解答！ | 尊敬的投资者，您好，公司产品、业务拓展、对外股权投资等情况可参考公司在指定的信息披露媒体上发布的公告。感谢您的关注！
002747.SZ,埃斯顿,EI-L3-BODY,本体结构与整机集成,工业机器人、本体、控制,第一梯队,81.4,11,18.0,18,11.0,8.4,10,5,51,4,9,工业机器人及智能制造系统,81.7679815250178,29.231644274850694,302.5789,40.7,40.15,-2.2164,674.6406,30.3939,3.7636,扭亏 104~106%,2026年国内出货量多少？国外出货量多少？在国外有投资建厂吗 | 您好，感谢您对公司的关注！根据MIR睿工业公布的数据，2025年公司工业机器人在中国出货量首次超越外资品牌，位列中国市场第一。公司通过在波兰的海外生产制造基地，建立全球化的产能布局和供应链体系，实现资源的最优配置与协同创新，加速高价值产品出海。
688322.SH,奥比中光,EI-L5-VISION,3D视觉/深度相机/IMU,3D视觉、深度相机,第一梯队,81.4,16,18.0,18,7.3,9.0,8,5,99,12,3,3D视觉传感器,30.926035536818702,54.425796540469186,397.2483,130.01,15.81,6.1917,27.4791,48.5843,1.0382,扭亏 296~296%,董秘您好，近期世界模型发展加速，请问公司在3D视觉领域的布局及生态卡位，将如何赋能这一进程？ | 您好！世界模型的核心在于让AI智能体具备对物理世界动态规律的持续理解与预测能力，这要求感知层能够输出高精度、高帧率、语义丰富的三维环境信息，而非局限于传统的二维图像数据。相较于2D视觉，3D视觉感知可直接捕获空间几何关系、物体位姿及表面形态，为世界模型提供符合物理规律的真实空间信息，是构建物理AI认知底座的关键环节。公司长期深耕3D视觉感知领域，依托“芯片+算法+光机”全栈自研能力，构建了覆盖结构光、iToF、dToF
