code,date,source,text,stage_hit,negative
002708.SZ,20260629,互动易,尊敬的董秘你好，请问光洋股份有没有直接持有金石成长股权投资（杭州）合伙企业？该合伙企业已投资了宇树科技股权。请董秘如实回答。 | 您好，公司与您提及的企业不存在股权关系，谢谢。,False,True
002708.SZ,20260624,互动易,董秘您好，我想请问一下光洋股份作为有限合伙人是否参与了“青岛十方新能源创业投资合伙企业（有限合伙）”的设立？该基金于2021年参与了宇树科技的B轮融资。 | 您好，公司未参与，感谢您的关注。,False,True
002708.SZ,20260622,互动易,尊敬的董秘，你好！请问公司同步器行星排产品毛利率是多少？业务收入占比多少？AI算力需求快速增长、 PCB线路板业务占比多少？机器人防爆巡查机器人6月份批量交货了吗？半年度报会提前预报吗？谢谢如实告知。 | 您好，据2025年度报告数据显示，公司同步器行星排产品毛利率为20.02%，占营业收入比重为19.93%，线路板业务占营业收入比重为10.80%。公司将严格按照监管规则及时履行信息披露义务，相关项目进展及具体经营情况请届时关注公司披露的定期报告，谢谢。,False,False
002708.SZ,20260615,互动易,普通投资者第一眼看到光洋股份还以为海洋捕捞的。认真看了以后才知道贵公司是做精密轴承、人形机器人配件PCB线路板.减速器、低空飞行等业务。贵公司的产品面向全国，虽然从江苏常州出来，还是与世俱进，希望用一个响亮的名称代表企业主业的未来，建议公司更变企业名称加入产品未来发展代表的名称。取一个响当当的名称，这样有利于企业的发展，谢谢董秘。 | 您好！感谢您对公司的关注和建议。谢谢！,False,False
002708.SZ,20260611,互动易,董秘你好！请问光洋股份有没有向特斯拉人形机器人送样产品或供货阶段？ | 您好：\n          感谢您对公司的关注。公司正全力推进人形机器人相关业务布局，相关业务信息请关注公司在指定媒体披露的定期报告或公告的内容。谢谢!,True,False
002708.SZ,20260604,互动易,董秘你好，请问光洋股份是宇树科技头部合作供应商吗？光洋股份间接持有宇宙科技股份吗？光洋股份是智元人形机器人供应商吗？ | 您好，公司未持有宇树科技股份。目前公司正全力推进人形机器人相关业务布局，有关业务情况请关注定期报告披露的内容，涉及部分具体客户名称不便披露，谢谢！,True,True
002708.SZ,20260604,互动易,董秘你好！请问光洋股份和人形机器人、宇树科技和智源科技两大头部人形机器人公司的配件供应商吗？有没有投资宇宙科技股份？ | 您好，公司未持有宇树科技股份。目前公司正全力推进人形机器人相关业务布局，有关业务情况请关注定期报告披露的内容，涉及部分具体客户名称不便披露，谢谢！,True,True
002708.SZ,20251219,互动易,董秘您好，请问贵司在智驾领域是否有线控底盘、线控转向、线控制动的业务开展？是否已经拿到了龙头公司的定点和订单？ | 您好，公司积极拓展智能驾驶领域的核心部件供应能力，在线控产品、车载显示、智能感知系统等方面均有积极布局，已定点项目正在有序开发，如公司与国内某龙头线控底盘公司的主动悬架类减速器项目、国内某头部新能源整车企业EMB线控制动项目、智能制动项目、T3*项目等。同时，公司与多家主机厂品牌车载摄像头软硬结合板实现规模化量产，正与多家头部车企协同开发应用于压力传感器的新型软板组件，谢谢。,True,False
002708.SZ,20251209,互动易,请问贵司产品在商业航天领域有应用吗？小鹏机器人是公司的重要客户吗？  | 您好，公司产品广泛适用于有高精、低摩擦和高效需求的各传动领域应用场景，在汽车、机器人和低空经济都有布局，感谢您的关注！,True,False
002708.SZ,20251205,互动易,贵司实控人己变更为黄山国资委，同时公司业务范围也有所增加，今年成立了机器人公司，可否把公司名改为黄山智能、黄山精密，这样有利于增强公司在资本巿场的知名度，更能衬托公司的产品形象，望传达并采纳 | 您好，感谢您的关注和建议。,False,False
