chain_id,chain_name,code,name,product,tier,total_score,moat_score,evidence_score,stage_score,growth_score,profit_score,support_score,market_score,evidence_hits,stage_hits,weak_hits,business_item,business_sales_pct,business_gross_margin,pe_ttm,pb,close,chg20,revenue_yoy,netprofit_yoy,gross_margin,roe,forecast,latest_evidence
ai_compute,AI算力,300308.SZ,中际旭创,高速光模块,第一梯队,98.0,20,18.0,18,15.0,12.0,10,5,217,217,22,高端光通讯收发模块,97.951312203735,42.60645926294703,85.2715,35.8195,1143.0,-10.35,192.1169,262.2837,46.0581,17.5495,预增 90~128%,董秘好，今日市场传闻同行存在缺物料的情况，作为行业龙头，请问贵司是否存在这一情况？除了物料，请问目前高速光模块生产所需的固晶贴片设备，以及高精度检测设备是否短缺？设备备货是否充足以应对生产所需？ | 投资者您好，公司一直在积极对核心物料进行备货，以满足生产需求和客户交付。感谢关注！
ai_compute,AI算力,300502.SZ,新易盛,高速光模块,第一梯队,96.0,20,18.0,18,15.0,12.0,10,3,73,48,16,光互联产品,99.71540304138024,47.81187416832597,66.0802,34.8245,509.0,-34.93,105.7595,76.7998,49.161,14.5175,预增 231~249%,董秘好，今日市场传闻贵司因缺物料导致二季度业绩不及预期，请问传闻是否属实？另外，请问除了物料，相关生产设备，如高速光模块固晶贴片设备，高精度检测设备是否存在缺口？公司有没有ca­p­ex加大投入？目前来说，阻碍公司业绩放量的卡脖子环节到底有哪些？请您解惑 | 您好，感谢您对公司的关注。公司目前生产经营情况良好，订单充足，公司已通过签订锁定协议、预付货款等方式提前备货，以保障物料供应。公司在资本开支方面也在迅速增长。未来，公司将持续通过扩
ai_compute,AI算力,300476.SZ,胜宏科技,AI PCB,第一梯队,91.7,20,18.0,18,10.7,12.0,10,3,143,143,4,PCB制造,93.73520354284464,31.914870638137188,64.2811,17.2844,306.09,-13.4,27.9928,39.948,34.4585,7.5741,预增 260~295%,请问公司目前AI服务器PCB相关订单是否保持良好增长态势？公司对于2026年下半年及2027年的订单能见度如何？ | 尊敬的投资者，您好！ PCB行业当前的景气度有其坚实的需求基础，随着全球通用人工智能技术加速演进，人工智能训练和推理需求持续扩大，AI算力、AI服务器的需求迅速增长，对PCB的需求量大且要求高，为行业未来的持续增长提供了强有力的支撑。目前公司在手订单饱满，订单能见度较高。谢谢关注！
ai_compute,AI算力,603019.SH,中科曙光,服务器/算力,第一梯队,86.5,20,18.0,18,4.9,7.7,10,8,28,15,0,IT设备业务,83.5591612455868,27.310699785901644,62.3865,6.1338,94.56,9.55,23.71,22.1861,26.5575,1.0174,,董秘您好！近期，发展改革委等四部门联合印发《促进人工智能与能源双向赋能行动方案》，要求新建大型AI数据中心100%采用液冷，2028年前完成存量风冷改造。面对此重大政策红利，中科曙光作为液冷领域的绝对龙头，目前公司在手液冷订单饱满度如何？当前产能利用率及排产交付能否满足未来大规模需求？针对未来爆发的产能需求，公司有何具体的扩产部署与规划？依托浸没相变液冷等领先优势，公司将采取哪些举措进一步提升市占率？ | 您好，液冷是数据中心绿色低碳发
ai_compute,AI算力,688256.SH,寒武纪,AI芯片,第一梯队,83.0,20,18.0,6,15.0,12.0,10,2,15,5,0,云端产品线,99.68692719954905,55.216180626040625,317.271,66.972,1372.0,-0.44,159.5555,185.0387,54.3304,8.2017,扭亏 509~575%,据记者从接近阿里人士处获悉，平头哥真武PPU芯片出货量已达数十万片，超过寒武纪，在国产GPU厂商中领先。截至发稿，记者未能从寒武纪获得进一步确认。公司有什么回应 | 公司一直并将继续专注于主营业务，持续聚焦人工智能芯片设计领域技术创新，提升核心竞争力，积极拓展市场份额，加速场景落地，推动公司的持续良好发展。公司相关信息请以公司发布在上交所官网的公告或公司官方网站披露的信息为准。其他公司信息请以其官方公布的信息为准。敬请投资者提高信息辨别
ai_compute,AI算力,000977.SZ,浪潮信息,AI服务器,第二梯队,77.5,20,18.0,18,6.0,1.4,8,6,62,62,0,服务器产品,93.8241161682678,4.518280353288323,36.662,4.2001,63.79,-0.67,-24.3031,30.7371,6.6392,2.7455,预增 61~74%,协创数据2月12日公告，根据经营发展需要，拟向多家供应商采购服务器，并签署相关采购合同，采购合同总金额预计不超过人民币110亿元。5月27日，长信科技披露其子公司芜湖长信智算科技有限公司拟采购高性能服务器，总金额预计不超过30亿元。华策影视5月份披露，拟向多家供应商采购服务器，合同总额预计不超过33亿元。请问董秘，浪潮作为国内服务器出货量最大的企业，这三家是否有向浪潮下采购订单？ | 尊敬的投资者您好，浪潮信息是全球领先的IT基础设施产
bio_manufacturing,生物制造,688065.SH,凯赛生物,生物基材料,第一梯队,87.2,17,18.0,18,7.2,8.9,10,8,19,19,0,长链二元酸系列,89.0779509948598,42.87676569865281,60.7879,2.0051,49.68,22.12,12.7306,21.0053,36.04,0.9317,预增 64~100%,尊敬的董秘你好，我是公司长期股东，根据公司此前公告，山西太原综合改区项目预计2027年底建成。从当前节点看，核心产线是否已处于带料试车或试生产阶段？相比之前，目前产线在连续性与稳定性上，是否已看到实质性的改善信号？ | 尊敬的投资者，您好。公司年产50万吨生物基戊二胺及年产90万吨生物基聚酰胺项目目前正在建设中。受基础设施建设进度等因素影响，项目进行了延期。近来，山西省、综改区和招商局集团领导都高度关心项目的推进。公司在全球首次进行生物
bio_manufacturing,生物制造,300829.SZ,金丹科技,PLA/乳酸,第二梯队,75.4,17,18.0,18,4.4,6.0,8,4,16,16,3,乳酸,61.48407478759803,17.251403954543502,30.0957,1.3053,14.01,-19.06,13.3964,-23.0327,19.097,1.226,预增 156~268%,金丹科技主营PLA聚乳酸（可降解塑料），英伟达AI服务器、显卡需要轻量化、环保、耐高温特种塑料外壳/结构件，PLA改性后可用于算力硬件外壳、散热配件，绑定英伟达硬件供应链有可能吗？ | 您好，聚乳酸（PLA）作为一种环保绿色的新型生物基可降解材料，可以应用在纺织、塑料、包装、农用地膜、现代医药、3D打印等领域。针对问题中所说商业化应用需结合具体场景进行系统验证。谢谢您的关注！
bio_manufacturing,生物制造,300381.SZ,溢多利,酶制剂,观察池,58.4,17,12.0,6,1.7,8.6,10,3,9,4,0,生物能源用酶制剂,82.28198845267019,44.01560021086893,,1.0909,5.83,-8.04,5.0627,238.473,49.6601,0.6445,首亏 -184~-142%,您好，酶制剂作为生物制造的芯片地位，溢多利一直坚持酶制剂的研发，国内绝对龙头！在高端工业酶方面有哪些布局，有哪些已经实现了国产替代 | 尊敬的投资者您好，公司产品和技术目前已应用在营养与健康、护理与清洁、食品与饮料、纸浆与造纸、纺织与皮革、生物能源等领域，感谢您的关注！
bio_manufacturing,生物制造,600873.SH,梅花生物,发酵工程,观察池,57.7,17,13.6,12,0.0,3.1,8,4,8,6,1,动物营养氨基酸,58.66484929470368,20.831699101561743,9.3314,1.3528,7.92,-14.01,-4.5135,-88.4244,9.5287,0.7198,,您好，请问公司动物营养氨基酸和人类营养与医用氨基酸都是基于合成生物技术生产的吗？ | 尊敬的投资者您好，公司是全球领先的、基于合成生物学技术实现氨基酸规模化生产的企业，感谢您对公司的关注。
bio_manufacturing,生物制造,688639.SH,华恒生物,合成生物/氨基酸,观察池,51.8,17,8.0,6,0.0,6.8,10,4,4,4,0,氨基酸产品,71.9478516380785,25.982528425263453,34.3517,1.577,16.95,-22.14,12.2554,-17.6114,20.9625,1.5782,预减 -60~-51%,"尊敬的公司领导您好，公司合成生物项目和领另一家上市公司浙江震元合成生物产品存在竞争关系，在生产技术和产品方面公司有那些优势，如何在未来的竞争中实现突围，谢谢。 | 尊敬的投资者您好，公司布局了丙氨酸系列、L-缬氨酸、异亮氨酸、色氨酸、精氨酸等氨基酸系列产品，D-泛酸钙、D-泛醇、肌醇等维生素系列产品，1,3-丙二醇、丁二酸生物基新材料单体产品等，依托技术突破和成本优势，服务于包括世界500强企业在内的多个境内外优质客户。 公司建成发酵法"
bio_manufacturing,生物制造,600143.SH,金发科技,生物基材料,暂不优先,48.5,17,6.0,6,5.6,1.9,8,4,3,3,1,改性塑料,54.71379563199079,24.426021988692543,34.2022,2.0949,15.46,-6.13,-0.4871,23.7199,13.2567,1.5569,预增 45~71%,董秘你好，9月1号上海禁塑令正式生效，请问对公司有什么积极影响？ | 尊敬的投资者，您好！公司是完全生物降解塑料领域的领先企业，2025年公司PBAT销量全球第一，生物降解膜袋类市场份额稳居亚洲榜首。公司降解材料产品广泛应用于环保包装、绿色农业、食品级餐具、3D打印耗材等多个场景。在合成生物材料方面，公司已构建“生物基单体-聚酯-改性材料”全产业链体系，生物基丁二酸、生物基BDO等重要原材料已经投产。相关“环保新规”的生效，或可提升市场
brain_computer_interface,脑机接口,688580.SH,伟思医疗,康复/神经刺激,第一梯队,94.8,20,18.0,18,11.2,11.6,8,8,23,23,0,磁刺激类,40.9159977758252,70.4514104826105,33.2961,3.1566,57.86,12.48,10.5592,85.3497,66.1569,3.571,略增 40~50%,2025年前三季度，公司研发投入同比增长34.69%，其中60%-70%投向脑机接口领域。能否具体说明资金分配方向？例如，在多模态融合（如脑电+近红外）、闭环神经调控等核心技术上的突破进展？此外，公司提到“动态耦合患者专注力与康复动作”的技术优势，但实际临床中患者运动想象能力差异较大，如何通过算法优化解决这一痛点？是否有第三方临床数据验证其有效性？ | 尊敬的投资者，您好！依托在磁刺激、电刺激及智能康复（+BCI）、射频激光能量源三大关
brain_computer_interface,脑机接口,300007.SZ,汉威科技,柔性传感/脑机材料线索,第一梯队,84.9,20,18.0,18,7.1,8.8,8,5,16,16,13,智能仪表,45.80127806368722,38.530778336850815,77.7443,4.3843,39.56,-4.12,-15.6089,46.0823,34.0615,0.8408,预增 63~128%,贵公司在感应器领域是绝对的龙头，并且前瞻性的布局研发了机器人，脑机接口相关的技术，在研发成果商业化进程的推进方面可否介绍一下？公司目前是满产满销状态吗？和特斯拉合作研发并且预留的生产线是否已经开始为特斯的机器人量产开始生产供货？ | 尊敬的投资者，您好！公司布局的具身智能多品类传感器目前市场需求情况良好，同时也在对不同的产品需求进行产能调整，客户信息请以公司在指定信息披露媒体披露的公告为准。感谢您的关注。
brain_computer_interface,脑机接口,300753.SZ,爱朋医疗,神经调控/麻醉镇痛,第二梯队,77.0,20,18.0,18,0.0,8.0,10,3,69,22,6,疼痛管理类产品,60.105046211496,68.29835337992589,,3.8287,20.14,-8.87,5.3806,75.1213,66.177,-0.66,首亏 -341~-248%,尊敬的董秘，您好？请问麻醉深度监测仪和非侵入脑机接口业务市场占有率？另江苏发布脑机接口产业创新发展行动方案，贵公司是否有信心成为领军企业？贵公司脑机接口医疗器械注册审批通过了几款？谢谢！ | 您好，公司麻醉深度监护仪和非侵入脑机接口业务目前收入占比较低，对公司业务影响较小。麻醉深度监护仪产品目前已获得3张三类医疗器械注册证；多模态ADHD行为治疗系统中脑电采集头环产品包括院内款和家用款，为二类医疗器械注册证；顽固性失眠麻醉治疗系统中的产
brain_computer_interface,脑机接口,300003.SZ,乐普医疗,神经介入/医疗器械,第二梯队,71.2,20,18.0,6,1.7,9.5,10,6,11,9,0,外科器械产品,50.19659043930541,69.88954269354917,27.753,1.4016,12.5,0.89,-3.6959,-34.7983,62.0344,1.5163,预增 224~386%,公司同时布局GLP-1 三靶点减肥药、医美童颜针、脑机接口 DBS，请问这三大热点业务未来如何协同发展，对公司业绩弹性有多大贡献？ | 尊敬的投资者您好，非常感谢您对公司新兴业务布局的关注，公司布局GLP-1三靶点创新药、皮肤科、DBS业务核心是围绕公司现有“医药+器械+服务”的全产业链平台优势，锚定代谢疾病、消费医疗、神经调控三大赛道。具体来说，在商业化方面，可依托公司现有的销售渠道，降低市场拓展成本，实现快速上量；在研发方面，三大业
brain_computer_interface,脑机接口,300238.SZ,冠昊生物,再生医学/神经修复,第二梯队,66.7,20,18.0,6,1.9,9.8,8,3,12,12,4,代理产品,25.237903488632885,54.53613036247952,162.5314,5.5031,12.04,4.24,-1.4274,-31.6413,76.6418,1.7671,扭亏 109~111%,董秘您好。请问公司的核心产品“生物型硬脑膜补片”，是否可用于侵入式脑部手术中硬脑膜的修补与脑脊液封堵？在目前前沿的植入式电极手术中，该补片是否具备临床修复价值？谢谢 | 尊敬的投资者您好！公司生物型硬脑（脊）膜补片目前主要适用于硬脑膜、硬脊膜缺损时的外科修补手术，公司业务详细情况请参见公司披露的定期报告。感谢您的关注与支持！
brain_computer_interface,脑机接口,688277.SH,天智航,手术机器人/神经外科线索,暂不优先,35.0,14,0.0,0,0.0,8.0,10,3,0,0,0,骨科手术机器人,57.44656920686813,73.51332502712336,,7.012,17.39,3.2,-10.0063,-251.7634,63.8658,-3.9645,续亏 -63~-36%,
