ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag,code6
000002.SZ,20260131,20251231,续亏,-65.7288,-65.7288,-8200000.0,-8200000.0,-4947842.92,20260131,预计:净利润-8200000,公司预计2025年度业绩将出现亏损，主要原因如下：（一）房地产开发项目结算规模显著下降，毛利率仍处低位。报告期内，房地产开发业务结算利润主要对应2023年、2024年销售的项目及2025年消化的现房和准现房库存。这些项目的地价获取成本较高，导致报告期结算毛利总额大幅减少。（二）因业务风险敞口升高，新增计提了信用减值和资产减值。（三）部分经营性业务扣除折旧摊销后整体亏损，以及部分非主业财务投资亏损。（四）部分大宗资产交易和股权交易价格低于账面值。报告期内，公司保质交付11.7万套房子，经营服务业务营收保持稳健；积极推动开发业务的各项降本增效工作，如管理费用管控和优化等，实现了开发业务管理费用连续两年下降。但当前公司发展依然面临严峻挑战，经营业绩也将持续承压。面向未来，公司将全力以赴推进经营改善，通过战略聚焦、规范运作和科技赋能等措施，推动业务布局优化和结构调整，提升多场景的开发和经营能力；公司上下将凝心聚力，有序地化解风险，摆脱困境，推动公司早日走出低谷。,1,000002
000002.SZ,20260131,20251231,续亏,-65.7288,-65.7288,-8200000.0,-8200000.0,-4947842.92,20260131,预计:净利润-8200000,公司预计2025年度业绩将出现亏损，主要原因如下：（一）房地产开发项目结算规模显著下降，毛利率仍处低位。报告期内，房地产开发业务结算利润主要对应2023年、2024年销售的项目及2025年消化的现房和准现房库存。这些项目的地价获取成本较高，导致报告期结算毛利总额大幅减少。（二）因业务风险敞口升高，新增计提了信用减值和资产减值。（三）部分经营性业务扣除折旧摊销后整体亏损，以及部分非主业财务投资亏损。（四）部分大宗资产交易和股权交易价格低于账面值。报告期内，公司保质交付11.7万套房子，经营服务业务营收保持稳健；积极推动开发业务的各项降本增效工作，如管理费用管控和优化等，实现了开发业务管理费用连续两年下降。但当前公司发展依然面临严峻挑战，经营业绩也将持续承压。面向未来，公司将全力以赴推进经营改善，通过战略聚焦、规范运作和科技赋能等措施，推动业务布局优化和结构调整，提升多场景的开发和经营能力；公司上下将凝心聚力，有序地化解风险，摆脱困境，推动公司早日走出低谷。,0,000002
000002.SZ,20250715,20250630,续亏,-21.7965,-1.4971,-1200000.0,-1000000.0,-985249.96,20250715,预计:净利润-1200000--1000000,公司预计2025年半年度业绩将出现亏损，主要原因如下：（一）房地产开发项目结算规模显著下降，毛利率仍处低位。（二）结合行业、市场和经营环境变化，考虑到业务风险敞口升高，新增计提了资产减值。（三）部分大宗资产交易和股权交易价格低于账面值。报告期内，公司保持生产经营稳定，按期保质完成了超4.5万套房的交付；实现销售金额691.1亿元，回款率超过100%；实现大宗交易签约金额64.3亿元；通过存量盘活回款57.5亿元，并以盘活模式新增获取项目3个，2023年以来公司已累计盘活项目64个，涉及可售货值约785亿元；经营服务类业务整体保持增长势头，经营效益在行业细分领域保持前列。公司继续获得各类金融机构支持，加快债务风险化解。上半年合并报表范围内新增融资和再融资249亿元（不含股东借款）；公司顺利完成164.9亿元公开债务偿还，2027年之前已无境外公开债到期。公司对业绩亏损深表歉意。公司将全力以赴推进经营改善，通过战略聚焦、经营提振、管理提升、科技赋能、融合发展等措施，推动业务布局优化和结构调整，促进开发业务回归良性循环，经营服务业务稳步增长，加快构建适应房地产新模式的核心能力，持续为客户提供“好房子”“好服务”“好社区”，推动公司重归健康发展的轨道。,0,000002
000002.SZ,20250127,20241231,首亏,-470.0,-470.0,-4500000.0,-4500000.0,1216268.44,20250127,预计净利润-4500000万,公司预计2024年度业绩将出现亏损，主要原因如下：（一）房地产开发项目结算规模和毛利率显著下降。报告期内，房地产开发业务结算利润主要对应2022年、2023年销售的项目及2024年消化的现房和准现房库存。这些项目大部分为2022年前获取的土地，地价获取成本较高，销售情况和毛利率均低于投资预期，导致报告期结算毛利总额大幅减少。（二）新增计提了信用减值和存货跌价准备。（三）部分非主业财务投资出现亏损。（四）部分大宗资产交易和股权交易价格低于账面值。公司对业绩亏损深表歉意，将全力以赴推动经营改善。报告期内，公司制定了业务重整和风险化解的“一揽子方案”，坚定瘦身健体，聚焦主业，全力自救，取得积极进展：实现高品质交付超过18万套房子；积极推进开发业务销售，实现销售金额2460.2亿元，销售面积行业第一；大宗交易实现签约259亿元；大力开展存量盘活工作，通过盘活回收现金超百亿。面向未来，公司认为行业已经度过最困难的时期，对房地产市场止跌回稳充满信心，相信外部环境的积极向好也为公司解决自身问题创造了良好条件。2025年公司将继续加快风险化解，有信心高质量完成交房任务，并将全力以赴实现2025年的业绩改善；同时，将全面聚焦综合住区开发、物业服务、租赁住宅三大主业，进一步提升产品和服务竞争力，推动公司尽快重回健康可持续发展道路，向高质量发展模式转变。,1,000002
000002.SZ,20250127,20241231,首亏,-470.0,-470.0,-4500000.0,-4500000.0,1216268.44,20250127,预计:净利润-4500000,公司预计2024年度业绩将出现亏损，主要原因如下：（一）房地产开发项目结算规模和毛利率显著下降。报告期内，房地产开发业务结算利润主要对应2022年、2023年销售的项目及2024年消化的现房和准现房库存。这些项目大部分为2022年前获取的土地，地价获取成本较高，销售情况和毛利率均低于投资预期，导致报告期结算毛利总额大幅减少。（二）新增计提了信用减值和存货跌价准备。（三）部分非主业财务投资出现亏损。（四）部分大宗资产交易和股权交易价格低于账面值。公司对业绩亏损深表歉意，将全力以赴推动经营改善。报告期内，公司制定了业务重整和风险化解的“一揽子方案”，坚定瘦身健体，聚焦主业，全力自救，取得积极进展：实现高品质交付超过18万套房子；积极推进开发业务销售，实现销售金额2460.2亿元，销售面积行业第一；大宗交易实现签约259亿元；大力开展存量盘活工作，通过盘活回收现金超百亿。面向未来，公司认为行业已经度过最困难的时期，对房地产市场止跌回稳充满信心，相信外部环境的积极向好也为公司解决自身问题创造了良好条件。2025年公司将继续加快风险化解，有信心高质量完成交房任务，并将全力以赴实现2025年的业绩改善；同时，将全面聚焦综合住区开发、物业服务、租赁住宅三大主业，进一步提升产品和服务竞争力，推动公司尽快重回健康可持续发展道路，向高质量发展模式转变。,0,000002
000002.SZ,20240710,20240630,首亏,-191.0,-171.0,-900000.0,-700000.0,987047.2,20240710,预计:净利润-900000--700000,"报告期内，公司制定了业务重整和化解风险的“一揽子方案”，坚定瘦身健体，降解风险，取得积极进展：实现高品质交付7.4万套房子，全面完成预定计划；保障公开市场债务正常兑付；实现销售金额1,273.3亿元，保持行业第一阵营；实现大宗交易回款93.4亿元；印力集团完成商业基础设施REIT的发行，发行规模32.6亿元。同时公司全面聚焦综合住区开发、物业服务、租赁住宅三大主业，产品线建设更加成熟，管理更精细化，产品服务竞争力进一步提高。尽管公司较早意识到转型发展的重要性，但转型业务投资超出了资源和能力的边界。同时，公司未能完全摆脱惯性，部分开发项目投资过于乐观，拿地成本较高。随着这些项目在2024年进入结算，公司结算业绩受到重大影响。同时，公司为确保现金流安全，通过价格折让加大库存去化和资产处置力度，导致公司业绩压力进一步加大。报告期内公司预计出现亏损，具体原因如下：（一）房地产开发项目结算规模和毛利率显著下降。报告期内，房地产开发业务结算利润主要对应2022年、2023年销售的项目及2024年上半年消化的现房和准现房库存。这些项目大部分为2022年前获取的土地，地价获取成本较高，后续销售阶段市场持续下行，销售情况和毛利率均低于投资预期，导致报告期结算毛利总额大幅减少。（二）公司对部分项目计提了减值。（三）部分非主业财务投资出现亏损。（四）部分大宗资产交易和股权交易价格低于账面值。公司对业绩亏损深表歉意。报告期内，公司聚焦现金流安全，按照“一揽子方案”的明确路线图，推进业务重整和风险化解，着眼长远推动转型升级。公司有信心、有决心聚焦主赛道，在房地产发展新模式中，尽快重回健康可持续发展道路，回馈股东。",1,000002
000002.SZ,20240710,20240630,首亏,-191.0,-171.0,-900000.0,-700000.0,987047.2,20240710,预计:净利润-900000--700000,"报告期内，公司制定了业务重整和化解风险的“一揽子方案”，坚定瘦身健体，降解风险，取得积极进展：实现高品质交付7.4万套房子，全面完成预定计划；保障公开市场债务正常兑付；实现销售金额1,273.3亿元，保持行业第一阵营；实现大宗交易回款93.4亿元；印力集团完成商业基础设施REIT的发行，发行规模32.6亿元。同时公司全面聚焦综合住区开发、物业服务、租赁住宅三大主业，产品线建设更加成熟，管理更精细化，产品服务竞争力进一步提高。尽管公司较早意识到转型发展的重要性，但转型业务投资超出了资源和能力的边界。同时，公司未能完全摆脱惯性，部分开发项目投资过于乐观，拿地成本较高。随着这些项目在2024年进入结算，公司结算业绩受到重大影响。同时，公司为确保现金流安全，通过价格折让加大库存去化和资产处置力度，导致公司业绩压力进一步加大。报告期内公司预计出现亏损，具体原因如下：（一）房地产开发项目结算规模和毛利率显著下降。报告期内，房地产开发业务结算利润主要对应2022年、2023年销售的项目及2024年上半年消化的现房和准现房库存。这些项目大部分为2022年前获取的土地，地价获取成本较高，后续销售阶段市场持续下行，销售情况和毛利率均低于投资预期，导致报告期结算毛利总额大幅减少。（二）公司对部分项目计提了减值。（三）部分非主业财务投资出现亏损。（四）部分大宗资产交易和股权交易价格低于账面值。公司对业绩亏损深表歉意。报告期内，公司聚焦现金流安全，按照“一揽子方案”的明确路线图，推进业务重整和风险化解，着眼长远推动转型升级。公司有信心、有决心聚焦主赛道，在房地产发展新模式中，尽快重回健康可持续发展道路，回馈股东。",0,000002
000004.SZ,20260131,20251231,扭亏,106.082,109.123,800.0,1200.0,-13153.54,20260131,预计:净利润800-1200,公司2025年度营业收入较上年同期增长的原因是公司算力服务器业务及应急安全业务规模较上年同期增长较大，以及医药板块业务和智慧城市软件开发业务为整体业绩带来了增量。除上述业务带来的利润外，公司报告期内的信用减值损失较上年同期有较大幅度的下降，部分应收账款的收回冲回坏账，公司利润情况得到改善。此外，公司在报告期内处置资产产生的损益、部分债权债务互抵产生的债务重组收益、对诉讼赔款计提的预计负债等均对公司利润产生影响，公司将以上项目归属为非经常性损益。,1,000004
000004.SZ,20260131,20251231,扭亏,106.082,109.123,800.0,1200.0,-13153.54,20260131,预计:净利润800-1200,公司2025年度营业收入较上年同期增长的原因是公司算力服务器业务及应急安全业务规模较上年同期增长较大，以及医药板块业务和智慧城市软件开发业务为整体业绩带来了增量。除上述业务带来的利润外，公司报告期内的信用减值损失较上年同期有较大幅度的下降，部分应收账款的收回冲回坏账，公司利润情况得到改善。此外，公司在报告期内处置资产产生的损益、部分债权债务互抵产生的债务重组收益、对诉讼赔款计提的预计负债等均对公司利润产生影响，公司将以上项目归属为非经常性损益。,0,000004
000004.SZ,20250715,20250630,续亏,-176.2445,-84.163,-5250.0,-3500.0,-1900.49,20250715,预计:净利润-5250--3500,"1、公司在报告期内开展的部分业务毛利率较低，营业成本有所增加；2、公司对报告期内新增的诉讼计提预计负债，增加营业外支出约1,300万元，该事项属于非经常性损益；3、报告期内公司研发费用较上年同期有所增加。",0,000004
