ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
002708.SZ,20260129,20251231,预增,66.63,115.64,8500.0,11000.0,5101.12,20260129,预计:净利润8500-11000,1、公司围绕国产化替代与新能源业务的协同发展战略，重点聚焦关键行业与核心客户新项目，高效对接客户需求，快速推进项目进度，强化能力建设与投入，与国内外多家主机厂建立深度合作关系。报告期内，公司汽车零部件业务产能逐步释放，业务规模保持稳步攀升，促进公司业绩同步增长。2、报告期内，公司加大海外市场开拓力度，随着产品认可度和市场份额的不断提升，原有客户销售额增长的同时，成功开拓了新客户，公司外销收入实现大幅增长，双市场协同发展格局加速成型。3、近年公司持续加大研发投入力度，促使公司产品竞争力不断提升；同时深化精益管理，持续推进降本增效，优化费用支出结构，提升运营效率。在业务规模扩大的同时，进一步提升盈利水平，实现经营业绩稳健增长。,0
002708.SZ,20250124,20241231,扭亏,138.48,153.87,4500.0,6300.0,-11693.99,20250124,预计:净利润4500-6300,1、2024年，公司围绕国产化替代与新能源业务的协同发展战略，紧跟市场发展需求，重点聚焦关键行业与核心客户新项目，加强能力建设与投入，快速响应，公司综合竞争力持续增强；2、报告期内，公司汽车零部件业务产能陆续释放，定点新项目陆续启动量产与爬坡，带来2024年汽车零部件业务规模快速增长并形成一定竞争力，促进公司业绩同步增长；3、公司持续加大研发投入力度，促使公司产品竞争力不断攀升；此外，持续推进降本增效与增收节支活动，内部强化技术、质量与制造等职能降本，外部通过构建核心品类战略供应商群，实施一系列持续有效的成本控制举措，成功降低采购成本，毛利率同比增加。,0
002708.SZ,20240715,20240630,扭亏,177.38,216.07,3000.0,4500.0,-3876.99,20240715,预计:净利润3000-4500,报告期内，公司实现归属于上市公司股东的净利润和扣除非经常性损益后的净利润扭亏为盈的主要原因如下：1、行业整体增长与公司新项目的爬坡上量帮助公司上半年实现了较大幅度的收入增长。一方面2024年以来国内乘用车市场产销同比增长，汽车出口保持快速增长，新能源汽车市场占有率稳步提升，为公司的持续发展提供了良好的市场基础；另一方面近年来公司紧跟市场发展趋势，不断优化产品和业务结构，加速开拓新能源汽车和国际业务，定点了很多新项目，上半年各项目不断爬坡上量推动了公司销售收入整体快速增长。规模效应以及产品结构的优化，帮助公司整体盈利能力得以改善。2、公司上半年持续深入推进精益管理，强化组织能力，优化技术工艺，全面加强成本管控，持续提升运营效率，取得了明显的改善效果。3、公司2023年11月完成再融资，补充了发展所需的资本金，优化了公司资本结构，使得2024年上半年财务费用大幅降低。,1
002708.SZ,20240715,20240630,扭亏,177.38,216.07,3000.0,4500.0,-3876.99,20240715,预计:净利润3000-4500,报告期内，公司实现归属于上市公司股东的净利润和扣除非经常性损益后的净利润扭亏为盈的主要原因如下：1、行业整体增长与公司新项目的爬坡上量帮助公司上半年实现了较大幅度的收入增长。一方面2024年以来国内乘用车市场产销同比增长，汽车出口保持快速增长，新能源汽车市场占有率稳步提升，为公司的持续发展提供了良好的市场基础；另一方面近年来公司紧跟市场发展趋势，不断优化产品和业务结构，加速开拓新能源汽车和国际业务，定点了很多新项目，上半年各项目不断爬坡上量推动了公司销售收入整体快速增长。规模效应以及产品结构的优化，帮助公司整体盈利能力得以改善。2、公司上半年持续深入推进精益管理，强化组织能力，优化技术工艺，全面加强成本管控，持续提升运营效率，取得了明显的改善效果。3、公司2023年11月完成再融资，补充了发展所需的资本金，优化了公司资本结构，使得2024年上半年财务费用大幅降低。,0
002708.SZ,20240131,20231231,续亏,44.49,61.57,-13000.0,-9000.0,-23420.73,20240131,预计:净利润-13000--9000,"1、报告期内，公司积极开拓市场，持续优化产品结构和业务结构，加大新能源汽车市场拓展，产销量同比保持增长，产品盈利能力得到改善提升，实现销售收入同比增长。2、报告期内，电子信息行业景气度回升，消费电子等下游行业需求复苏，新能源、智能制造等产业逐步起量为电子元器件行业提供了新的需求增长点。受行业积极因素影响，公司控股子公司威海世一电子有限公司订单量持续回升，高端机型的产销量增长较快，经营业绩得到改善。3、报告期内，公司优化组织架构，强化内部管理效率，同时持续推进降本增效措施，公司整体盈利能力得到有效提升。4、报告期内，公司全资子公司常州天宏机械制造有限公司因拆迁获得房屋、土地征收补偿款，影响非经常性损益2,394.30万元。",1
002708.SZ,20240131,20231231,续亏,44.49,61.57,-13000.0,-9000.0,-23420.73,20240131,预计:净利润-13000--9000,"1、报告期内，公司积极开拓市场，持续优化产品结构和业务结构，加大新能源汽车市场拓展，产销量同比保持增长，产品盈利能力得到改善提升，实现销售收入同比增长。2、报告期内，电子信息行业景气度回升，消费电子等下游行业需求复苏，新能源、智能制造等产业逐步起量为电子元器件行业提供了新的需求增长点。受行业积极因素影响，公司控股子公司威海世一电子有限公司订单量持续回升，高端机型的产销量增长较快，经营业绩得到改善。3、报告期内，公司优化组织架构，强化内部管理效率，同时持续推进降本增效措施，公司整体盈利能力得到有效提升。4、报告期内，公司全资子公司常州天宏机械制造有限公司因拆迁获得房屋、土地征收补偿款，影响非经常性损益2,394.30万元。",0
002708.SZ,20230715,20230630,续亏,28.34,52.23,-6000.0,-4000.0,-8372.61,20230715,预计:净利润-6000--4000,"1、随着经济逐步回暖，受益于市场需求上升,客户订单较上年同期增加,公司销售实现增长。2、报告期内，公司全力推进降本增效，提升业务规模的同时控制业务亏损，形成日常经营的良性运转。3、报告期内，对公司净利润影响较大的非经常性损益项目为获得拆迁补偿款，影响金额大约为2,720万元。",1
002708.SZ,20230715,20230630,续亏,28.34,52.23,-6000.0,-4000.0,-8372.61,20230715,预计:净利润-6000--4000,"1、随着经济逐步回暖，受益于市场需求上升,客户订单较上年同期增加,公司销售实现增长。2、报告期内，公司全力推进降本增效，提升业务规模的同时控制业务亏损，形成日常经营的良性运转。3、报告期内，对公司净利润影响较大的非经常性损益项目为获得拆迁补偿款，影响金额大约为2,720万元。",0
002708.SZ,20230120,20221231,续亏,-195.43,-146.19,-24000.0,-20000.0,-8123.81,20230120,预计:净利润-24000--20000,1、报告期内，宏观经济形势下行压力较大，全球地缘环境、新冠疫情影响持续，地方政府投入减缓，社会消费持续下降。根据中国汽车工业协会统计分析，2022年1-12月国内商用车市场持续低迷，产销大幅下滑。消费类电子需求急剧下降，各大手机终端库存高企、纷纷下调年度出货目标，导致消费类电子产业供应链产能严重过剩。公司所处的汽车零部件产品和消费电子产品等领域市场竞争进一步加剧，进而对公司客户项目开发进度和量产时间造成影响，部分定点项目进展未达预期。2、报告期内，国内多地发生了较为严重的疫情，部分时段内停工停产，对公司所在工厂的生产经营造成不利影响；同时全国疫情蔓延，物流运输受阻，对公司各地的产销供应产生较大影响。因产能不饱和，未能充分发挥规模化效益，产品单位固定成本较高，对公司利润造成影响。3、基于2022年的经营状况及本年度资产可变现净值的测算，预计本报告期将计提相应资产的资产减值损失及信用减值损失。,1
002708.SZ,20230120,20221231,续亏,-195.43,-146.19,-24000.0,-20000.0,-8123.81,20230120,预计净利润-24000~-20000万,1、报告期内，宏观经济形势下行压力较大，全球地缘环境、新冠疫情影响持续，地方政府投入减缓，社会消费持续下降。根据中国汽车工业协会统计分析，2022年1-12月国内商用车市场持续低迷，产销大幅下滑。消费类电子需求急剧下降，各大手机终端库存高企、纷纷下调年度出货目标，导致消费类电子产业供应链产能严重过剩。公司所处的汽车零部件产品和消费电子产品等领域市场竞争进一步加剧，进而对公司客户项目开发进度和量产时间造成影响，部分定点项目进展未达预期。2、报告期内，国内多地发生了较为严重的疫情，部分时段内停工停产，对公司所在工厂的生产经营造成不利影响；同时全国疫情蔓延，物流运输受阻，对公司各地的产销供应产生较大影响。因产能不饱和，未能充分发挥规模化效益，产品单位固定成本较高，对公司利润造成影响。3、基于2022年的经营状况及本年度资产可变现净值的测算，预计本报告期将计提相应资产的资产减值损失及信用减值损失。,0
