证据链,对应环节,证据要点,强度,结论
1. BOM定位,关节模组/感应模组零部件,标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠、PCB/FPC,强,公司多次明确聚焦机器人关节模组和感应模组，产品属于机器人关键组成部分。
2. 商业化阶段,量产定点与交付,人形机器人头部客户关节模组齿轮项目已获量产定点，并已开始交付,最强,这是光洋股份最核心的硬证据。
3. 订单增长,订单放量/产能匹配,公司称下半年开始人形机器人相关订单迅速增长，并布局产能匹配,强,证明从验证向订单阶段推进，但未披露收入金额。
4. 产能扩张,黄山6000万套项目,年产6000万套高端新能源汽车及机器人用精密零部件，适配减速器模组及机器人关节模组；一期达产预计产值10亿元,强,证明公司在做产业化产能准备。
5. 投资合作,卓誉科技,增资3000万元，认购6.5217%股权，并在具身智能关节模组产品领域深度合作,强,补足机电一体化中“电”的能力，向总成拓展。
6. 产业投资,逐际动力,公司已向逐际动力支付2000万元认购款，工商信息显示持股0.6667%,中强,属于生态位投资，不等同于订单。
7. 技术壁垒,减速器/轴承/齿轮/丝杠,公司具备轴承、齿轮、轴类产品研发生产能力，具备摆线针轮减速器核心部件研发生产能力,中强,对应卡脖子的精密传动零部件。
8. 感应模组,PCB/FPC/RFPC,线路板产品应用覆盖机器人感应模组、AI眼镜、汽车电子等,中,可映射机器人感知侧，但线路板业务目前盈利质量偏弱。
9. 线控相邻链,线控底盘/制动/摄像头软硬板,部分线控底盘核心部件为行业头部客户量产，车载摄像头软硬结合板规模化量产,中,与机器人传动技术相邻，但不能直接等同于人形机器人订单。
10. 降权证据,宇树/智元/特斯拉传闻,公司未确认具体客户；否认持有宇树股权、否认参与部分宇树相关基金,必须降权,不能把市场提问当作确定供货或持股证据。
